# TUFS Basic Turkish Wordnet	tur	http://www.coelang.tufs.ac.jp/mt/tr/	CC BY 4.0
15210045-n	tur:lemma	Ocak
00065495-v	tur:pron	iyi			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1757.mp3	
80001734-n	tur:lemma	ders
80001734-n	tur:exe	0	Ders başladı mı?
80001734-n	tur:exe	1	Ama ders çalışmayı hiç sevmedim.
80001734-n	tur:exe	2	Bu ders çok sıkıcı.
80001734-n	tur:exe	3	Her gün ders çalışıyorum.
80001734-n	tur:exe	4	Ne dersi?
80001734-n	tur:count	ders	5
80001734-n	tur:pron	ders			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1611.mp3	
00889472-n	tur:lemma	ders
00889472-n	tur:exe	0	Ders başladı mı?
00889472-n	tur:exe	1	Ama ders çalışmayı hiç sevmedim.
00889472-n	tur:exe	2	Bu ders çok sıkıcı.
00889472-n	tur:exe	3	Her gün ders çalışıyorum.
00889472-n	tur:exe	4	Ne dersi?
00889472-n	tur:count	ders	5
00889472-n	tur:pron	ders			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1611.mp3	
02608347-v	tur:lemma	başlamak
02608347-v	tur:exe	0	Bana sorarsanız yarın saat beşte başlamak en iyisidir.
02608347-v	tur:count	başlamak	1
02608347-v	tur:pron	başlamak			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1988.mp3	
07850329-n	tur:lemma	peynir
07850329-n	tur:exe	0	Peynir, Türkler için vazgeçilmez bir yiyecektir.
07850329-n	tur:count	peynir	1
07850329-n	tur:pron	peynir			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1665.mp3	
03623556-n	tur:lemma	bıçak
03623556-n	tur:exe	0	Ekmek bıçağı.
03623556-n	tur:pron	bıçak			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1662.mp3	
03624134-n	tur:lemma	bıçak
03624134-n	tur:exe	0	Ekmek bıçağı.
03624134-n	tur:pron	bıçak			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1662.mp3	
01776727-v	tur:lemma	sevme-
01776727-v	tur:exe	0	Ben kedileri sevmiyorum.
01776727-v	tur:exe	1	Ben gözlük takmayı hiç sevmem.
01776727-v	tur:exe	2	Oğlum şapka takmayı hiç sevmiyor.
01776727-v	tur:exe	3	Ben takı takmayı sevmem.
01776727-v	tur:exe	4	Annem temizlik yapmayı sevmez.
01776727-v	tur:exe	5	Ama ders çalışmayı hiç sevmedim.
01776727-v	tur:pron	sevme-			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1503.mp3	
01774136-v	tur:lemma	sevme-
01774136-v	tur:exe	0	Ben kedileri sevmiyorum.
01774136-v	tur:exe	1	Ben gözlük takmayı hiç sevmem.
01774136-v	tur:exe	2	Oğlum şapka takmayı hiç sevmiyor.
01774136-v	tur:exe	3	Ben takı takmayı sevmem.
01774136-v	tur:exe	4	Annem temizlik yapmayı sevmez.
01774136-v	tur:exe	5	Ama ders çalışmayı hiç sevmedim.
01774136-v	tur:pron	sevme-			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1503.mp3	
02783161-n	tur:lemma	tükenmez kalem
02783161-n	tur:exe	0	Orada tükenmez kalem var mı?
02783161-n	tur:count	tükenmez kalem	1
02783161-n	tur:pron	tükenmez kalem			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1855.mp3	
02632567-v	tur:lemma	iste-
02632567-v	tur:exe	0	Oradaki kırmızı çantayı istiyorum.
02632567-v	tur:exe	1	Ankara'ya paket göndermek istiyorum.
02632567-v	tur:exe	2	Bundan başka ne istiyorsunuz ?   
02632567-v	tur:exe	3	Gelecekte ne yapmak istiyorsun?
02632567-v	tur:exe	4	Hangi ülkeye gitmek istiyorsunuz ?
02632567-v	tur:exe	5	Hemen yerleşmek istiyorum.
02632567-v	tur:exe	6	Herkes cennete gitmek ister. Öyleyse neden ölmek isteyen yok?
02632567-v	tur:exe	7	Kaç tane istiyorsun?
02632567-v	tur:exe	8	Nasıl bir oda istersiniz?
02632567-v	tur:exe	9	Ne yemek istersiniz ? 
02632567-v	tur:exe	10	Soğuk içecek istiyorum.
02632567-v	tur:exe	11	Tek kişilik bir oda istiyorum.
02632567-v	tur:pron	iste-			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1547.mp3	
01579608-a	tur:lemma	hemen
01579608-a	tur:exe	0	Ahmet hemen gitmeli.        
01579608-a	tur:exe	1	Ahmet hemen buraya gelsin.   
01579608-a	tur:exe	2	Ben hemen gitmeliyim.                  
01579608-a	tur:exe	3	Çamaşırın varsa hemen çıkart.
01579608-a	tur:exe	4	Hemen gitmeli miyim?      
01579608-a	tur:exe	5	Hemen yakında.
01579608-a	tur:exe	6	Hemen yerleşmek istiyorum.
01579608-a	tur:exe	7	Hoca geldi. Hemen kalktık.
01579608-a	tur:exe	8	İstanbul'a varınca hemen beni ara.
01579608-a	tur:exe	9	Sigarayı hemen bırakmalısınız.
01579608-a	tur:count	hemen	10
01579608-a	tur:pron	hemen			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1918.mp3	
03427296-n	tur:lemma	kapı
03427296-n	tur:exe	0	Okulun kapısında görüşürüz.
03427296-n	tur:count	kapı	1
03427296-n	tur:pron	kapı			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1718.mp3	
04026417-n	tur:lemma	cüzdan
04026417-n	tur:exe	0	Sultan Ahmet'te cüzdanım çalındı.
04026417-n	tur:count	cüzdan	1
04026417-n	tur:pron	cüzdan			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1812.mp3	
11456462-n	tur:lemma	açık hava
11456462-n	tur:exe	0	Bugün hava açık.
11456462-n	tur:pron	açık hava			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1932.mp3	
11456462-n	tur:lemma	açık
11456462-n	tur:exe	0	Bugün hava açık.
11456462-n	tur:count	açık	1
11456462-n	tur:pron	açık			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1975.mp3	
07848338-n	tur:lemma	tereyağı
07848338-n	tur:exe	0	Tereyağı da alalım mı?
07848338-n	tur:count	tereyağı	1
07848338-n	tur:pron	tereyağı			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1828.mp3	
90000501-n	tur:lemma	geçen yıl
90000501-n	tur:exe	0	Geçen yıl hiç Türkiye'ye gidemedim.
90000501-n	tur:count	geçen yıl	1
90000501-n	tur:pron	geçen yıl			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1891.mp3	
15210870-n	tur:lemma	Mart
15210870-n	tur:exe	0	8 Mart Dünya Kadınlar Günü'dür.
15210870-n	tur:count	Mart	1
15210870-n	tur:pron	Mart			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1867.mp3	
77000072-n	tur:lemma	burası
77000072-n	tur:lemma	burada
77000072-n	tur:exe	0	Burası benim memleketim.
77000072-n	tur:count	burası	1
77000072-n	tur:pron	burada			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1581.mp3	
08489497-n	tur:lemma	burası
08489497-n	tur:lemma	burada
08489497-n	tur:exe	0	Burası benim memleketim.
08489497-n	tur:count	burası	1
08489497-n	tur:pron	burada			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1581.mp3	
03561345-n	tur:lemma	resim
03561345-n	tur:exe	0	Çocuklar boyayla resim çiziyorlardı.
03561345-n	tur:count	resim	1
03561345-n	tur:pron	resim			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1928.mp3	
03234306-n	tur:lemma	resim
03234306-n	tur:exe	0	Çocuklar boyayla resim çiziyorlardı.
03234306-n	tur:count	resim	1
03234306-n	tur:pron	resim			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1928.mp3	
03876519-n	tur:lemma	resim
03876519-n	tur:exe	0	Çocuklar boyayla resim çiziyorlardı.
03876519-n	tur:count	resim	1
03876519-n	tur:pron	resim			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1928.mp3	
07110615-n	tur:lemma	ses
07110615-n	tur:exe	0	Büyüklerin yanında sesim çıkmazdı.
07110615-n	tur:exe	1	Teyp kullanarak sesini kaydettik.
07110615-n	tur:count	ses	2
07110615-n	tur:pron	ses			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1931.mp3	
05202284-n	tur:lemma	ses
05202284-n	tur:exe	0	Büyüklerin yanında sesim çıkmazdı.
05202284-n	tur:exe	1	Teyp kullanarak sesini kaydettik.
05202284-n	tur:count	ses	2
05202284-n	tur:pron	ses			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1931.mp3	
09411430-n	tur:lemma	ırmak
09411430-n	tur:exe	0	Evimin yanında ırmak var.
09411430-n	tur:count	ırmak	1
09411430-n	tur:pron	ırmak			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1511.mp3	
15236859-n	tur:lemma	sonbahar
15236859-n	tur:exe	0	Bu sonbaharda ablam evlenecek.
15236859-n	tur:count	sonbahar	1
15236859-n	tur:pron	sonbahar			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1886.mp3	
02107442-v	tur:lemma	sor-
02107442-v	tur:exe	0	Hocaya soralım.
02107442-v	tur:exe	1	Telefon edip soralım.  
02107442-v	tur:exe	2	Bana sorarsanız yarın saat beşte başlamak en iyisidir.
02107442-v	tur:pron	sor-			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1588.mp3	
02169891-v	tur:lemma	sor-
02169891-v	tur:exe	0	Hocaya soralım.
02169891-v	tur:exe	1	Telefon edip soralım.  
02169891-v	tur:exe	2	Bana sorarsanız yarın saat beşte başlamak en iyisidir.
02169891-v	tur:pron	sor-			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1588.mp3	
02242464-v	tur:lemma	sat-
02242464-v	tur:exe	0	Orada neler satılıyor?
02242464-v	tur:pron	sat-			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1709.mp3	
00271022-a	tur:lemma	açık
00271022-a	tur:exe	0	Mehmet açık mavi bir kazak aldı.
00271022-a	tur:count	açık	1
00271022-a	tur:pron	açık			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1975.mp3	
00396523-a	tur:lemma	açık
00396523-a	tur:exe	0	Mehmet açık mavi bir kazak aldı.
00396523-a	tur:count	açık	1
00396523-a	tur:pron	açık			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1975.mp3	
00269989-a	tur:lemma	açık
00269989-a	tur:exe	0	Mehmet açık mavi bir kazak aldı.
00269989-a	tur:count	açık	1
00269989-a	tur:pron	açık			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1975.mp3	
00278551-a	tur:lemma	açık
00278551-a	tur:exe	0	Mehmet açık mavi bir kazak aldı.
00278551-a	tur:count	açık	1
00278551-a	tur:pron	açık			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1975.mp3	
02924116-n	tur:lemma	otobüs
02924116-n	tur:exe	0	Örneğin, trenler otobüsten daha yavaş gider.
02924116-n	tur:exe	1	Otobüsler, trenler geç kalmamalı.
02924116-n	tur:exe	2	Önce, biraz ilerideki duraktan otobüse binip Taksim’e gitmen gerekiyor. 
02924116-n	tur:count	otobüs	3
02924116-n	tur:pron	otobüs			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1505.mp3	
01614426-v	tur:lemma	yapıştır-
01614426-v	tur:exe	0	Pulu zarfa yapıştırdım.
01614426-v	tur:pron	yapıştır-			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1687.mp3	
80001230-x	tur:lemma	evet
80001230-x	tur:exe	0	Evet, rakı içmeyi severim.
80001230-x	tur:exe	1	Ahmet Bey doktor mu? Evet, doktor./ Hayır, doktor değil.
80001230-x	tur:exe	2	Çiçekler güzel mi? Evet, güzel./ Hayır, güzel değil.
80001230-x	tur:exe	3	Evet, çok beğendim.
80001230-x	tur:exe	4	Evet, çok yoruldum.
80001230-x	tur:exe	5	Evet, müsaidim.
80001230-x	tur:count	evet	6
80001230-x	tur:pron	evet			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1680.mp3	
01184932-a	tur:lemma	ağır
01184932-a	tur:exe	0	Kurşun ağır bir madendir.
01184932-a	tur:count	ağır	1
01184932-a	tur:pron	ağır			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1748.mp3	
07881800-n	tur:lemma	içecek
07881800-n	tur:exe	0	Başka içecek var mı?
07881800-n	tur:exe	1	Soğuk içecek istiyorum.
07881800-n	tur:count	içecek	2
07881800-n	tur:pron	içecek			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1646.mp3	
01119192-a	tur:lemma	çok iyi
01119192-a	tur:exe	0	O yüzden çok iyi hazırlanman gerekir.
01119192-a	tur:exe	1	Bence de o çok iyi fikir.
01119192-a	tur:count	çok iyi	2
01119192-a	tur:pron	çok iyi			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1494.mp3	
02226162-a	tur:lemma	çok iyi
02226162-a	tur:exe	0	O yüzden çok iyi hazırlanman gerekir.
02226162-a	tur:exe	1	Bence de o çok iyi fikir.
02226162-a	tur:count	çok iyi	2
02226162-a	tur:pron	çok iyi			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1494.mp3	
01838916-a	tur:lemma	çok iyi
01838916-a	tur:exe	0	O yüzden çok iyi hazırlanman gerekir.
01838916-a	tur:exe	1	Bence de o çok iyi fikir.
01838916-a	tur:count	çok iyi	2
01838916-a	tur:pron	çok iyi			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1494.mp3	
03467517-n	tur:lemma	gitar
03467517-n	tur:exe	0	Gitar çalmayı biliyor musun?
03467517-n	tur:count	gitar	1
03467517-n	tur:pron	gitar			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1925.mp3	
03613294-n	tur:lemma	anahtar
03613294-n	tur:exe	0	Ali'nin evinin anahtarını kaybettim.
03613294-n	tur:count	anahtar	1
03613294-n	tur:pron	anahtar			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1550.mp3	
01553629-a	tur:lemma	çok
01553629-a	tur:exe	0	Dün çok içmişim.
01553629-a	tur:exe	1	- Çok teşekkür ederim.\n- Bir şey değil.
01553629-a	tur:exe	2	Bu eşya çok hafif.
01553629-a	tur:exe	3	Buranın manzarası çok güzel.
01553629-a	tur:exe	4	Çok geniş bir odada ikimiz kaldık.
01553629-a	tur:exe	5	Çok güzel.
01553629-a	tur:exe	6	Çok teşekkür ederim Bülent.
01553629-a	tur:exe	7	Çok teşekkürler.
01553629-a	tur:exe	8	Daha çok çalışmalıyız. 
01553629-a	tur:exe	9	Dokunma! O çok pis!
01553629-a	tur:exe	10	Evet, çok beğendim.
01553629-a	tur:exe	11	O şarkıcı çok ünlüymüş.                     
01553629-a	tur:exe	12	Orası çok sakin bir yer.
01553629-a	tur:exe	13	Seda'nın bacakları çok uzun.
01553629-a	tur:count	çok	14
01553629-a	tur:pron	çok			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1765.mp3	
01551633-a	tur:lemma	çok
01551633-a	tur:exe	0	Dün çok içmişim.
01551633-a	tur:exe	1	- Çok teşekkür ederim.\n- Bir şey değil.
01551633-a	tur:exe	2	Bu eşya çok hafif.
01551633-a	tur:exe	3	Buranın manzarası çok güzel.
01551633-a	tur:exe	4	Çok geniş bir odada ikimiz kaldık.
01551633-a	tur:exe	5	Çok güzel.
01551633-a	tur:exe	6	Çok teşekkür ederim Bülent.
01551633-a	tur:exe	7	Çok teşekkürler.
01551633-a	tur:exe	8	Daha çok çalışmalıyız. 
01551633-a	tur:exe	9	Dokunma! O çok pis!
01551633-a	tur:exe	10	Evet, çok beğendim.
01551633-a	tur:exe	11	O şarkıcı çok ünlüymüş.                     
01551633-a	tur:exe	12	Orası çok sakin bir yer.
01551633-a	tur:exe	13	Seda'nın bacakları çok uzun.
01551633-a	tur:count	çok	14
01551633-a	tur:pron	çok			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1765.mp3	
01552419-a	tur:lemma	çok
01552419-a	tur:exe	0	Dün çok içmişim.
01552419-a	tur:exe	1	- Çok teşekkür ederim.\n- Bir şey değil.
01552419-a	tur:exe	2	Bu eşya çok hafif.
01552419-a	tur:exe	3	Buranın manzarası çok güzel.
01552419-a	tur:exe	4	Çok geniş bir odada ikimiz kaldık.
01552419-a	tur:exe	5	Çok güzel.
01552419-a	tur:exe	6	Çok teşekkür ederim Bülent.
01552419-a	tur:exe	7	Çok teşekkürler.
01552419-a	tur:exe	8	Daha çok çalışmalıyız. 
01552419-a	tur:exe	9	Dokunma! O çok pis!
01552419-a	tur:exe	10	Evet, çok beğendim.
01552419-a	tur:exe	11	O şarkıcı çok ünlüymüş.                     
01552419-a	tur:exe	12	Orası çok sakin bir yer.
01552419-a	tur:exe	13	Seda'nın bacakları çok uzun.
01552419-a	tur:count	çok	14
01552419-a	tur:pron	çok			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1765.mp3	
00127137-a	tur:lemma	eski
00127137-a	tur:exe	0	Ağabeyimin bisikleti yeni, benimki eski.
00127137-a	tur:count	eski	1
00127137-a	tur:pron	eski			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1753.mp3	
01638438-a	tur:lemma	eski
01638438-a	tur:exe	0	Ağabeyimin bisikleti yeni, benimki eski.
01638438-a	tur:count	eski	1
01638438-a	tur:pron	eski			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1753.mp3	
01729384-a	tur:lemma	eski
01729384-a	tur:exe	0	Ağabeyimin bisikleti yeni, benimki eski.
01729384-a	tur:count	eski	1
01729384-a	tur:pron	eski			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1753.mp3	
10694258-n	tur:lemma	öğretmen
10694258-n	tur:exe	0	Sizin bölümde kaç Japon öğretmen var?
10694258-n	tur:exe	1	Öğretmen bize soru sordu.
10694258-n	tur:count	öğretmen	2
10694258-n	tur:pron	öğretmen			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1608.mp3	
07859284-n	tur:lemma	şeker
07859284-n	tur:exe	0	Şeker koymuyor musun?
07859284-n	tur:count	şeker	1
07859284-n	tur:pron	şeker			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1651.mp3	
09605289-n	tur:lemma	büyük
09605289-n	tur:exe	0	Büyüklerin yanında sesim çıkmazdı.
09605289-n	tur:count	büyük	1
09605289-n	tur:pron	büyük			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1742.mp3	
04081281-n	tur:lemma	restoran
04081281-n	tur:exe	0	İstanbul'da kaç tane Japon restoranı var?
04081281-n	tur:count	restoran	1
04081281-n	tur:pron	restoran			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1670.mp3	
04081281-n	tur:lemma	lokanta
04081281-n	tur:exe	0	O lokantada yemek yiyelim.
04081281-n	tur:exe	1	Lokantalar yukarıda galiba.
04081281-n	tur:count	lokanta	2
04081281-n	tur:pron	lokanta			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1671.mp3	
10448983-n	tur:lemma	polis
10448983-n	tur:exe	0	Oğlum polis oldu.
10448983-n	tur:count	polis	1
10448983-n	tur:pron	polis			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1577.mp3	
10448983-n	tur:lemma	polis
10448983-n	tur:exe	0	Bak orada polis var.
10448983-n	tur:count	polis	1
10448983-n	tur:pron	polis			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1577.mp3	
90000507-n	tur:lemma	bu hafta
90000507-n	tur:exe	0	Arzu Hanım, bu haftaki toplantıyı hangi gün yapalım?
90000507-n	tur:count	bu hafta	1
90000507-n	tur:pron	bu hafta			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1873.mp3	
02686568-n	tur:lemma	uçak
02686568-n	tur:exe	0	Uçakla gidersek daha pahalı olur.
02686568-n	tur:count	uçak	1
02686568-n	tur:pron	uçak			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1478.mp3	
02691156-n	tur:lemma	uçak
02691156-n	tur:exe	0	Uçakla gidersek daha pahalı olur.
02691156-n	tur:count	uçak	1
02691156-n	tur:pron	uçak			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1478.mp3	
08420278-n	tur:lemma	banka
08420278-n	tur:exe	0	Buralarda banka var mı?
08420278-n	tur:count	banka	1
08420278-n	tur:pron	banka			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1676.mp3	
02787772-n	tur:lemma	banka
02787772-n	tur:exe	0	Buralarda banka var mı?
02787772-n	tur:count	banka	1
02787772-n	tur:pron	banka			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1676.mp3	
01447257-v	tur:lemma	basmak
01447257-v	tur:exe	0	Bir şey olursa bu düğmeye basın.
01447257-v	tur:pron	basmak			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1987.mp3	
02398378-a	tur:lemma	acı
02398378-a	tur:exe	0	Kırmızıbiber çok acıdır.
02398378-a	tur:count	acı	1
02398378-a	tur:pron	acı			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1669.mp3	
02397732-a	tur:lemma	acı
02397732-a	tur:exe	0	Kırmızıbiber çok acıdır.
02397732-a	tur:count	acı	1
02397732-a	tur:pron	acı			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1669.mp3	
06628228-n	tur:lemma	kartpostal
06628228-n	tur:exe	0	Arkadaşıma kartpostal gönderdim.
06628228-n	tur:count	kartpostal	1
06628228-n	tur:pron	kartpostal			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1686.mp3	
06627938-n	tur:lemma	kartpostal
06627938-n	tur:exe	0	Arkadaşıma kartpostal gönderdim.
06627938-n	tur:count	kartpostal	1
06627938-n	tur:pron	kartpostal			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1686.mp3	
03959485-n	tur:lemma	tabak
03959485-n	tur:exe	0	Ben tabakları getireyim, sen de tabaklara yemek doldur, tamam mı?
03959485-n	tur:exe	1	Masaya kaç tane tabak lazım?
03959485-n	tur:exe	2	Toplam sekiz tabak olacak.
03959485-n	tur:exe	3	Toplam yedi tane tabak lazım.
03959485-n	tur:count	tabak	5
03959485-n	tur:pron	tabak			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1827.mp3	
00393105-a	tur:lemma	beyaz
