# TUFS Basic Central Khmer Wordnet	khm http://www.coelang.tufs.ac.jp/mt/km/	CC BY 4.0
07110615-n	khm:exe	នាងមានសំឡេងស្រួយដូចសារិកា។
05202284-n	khm:lemma	សំឡេង
05202284-n	khm:exe	នាងមានសំឡេងស្រួយដូចសារិកា។
09411430-n	khm:lemma	ទន្លេ
09411430-n	khm:exe	ទឹកទន្លេមេគង្គឡើងខ្ពស់អតិបរមាក្នុងខែកញ្ញា។
15236859-n	khm:lemma	រដូវលំហើយ
15236859-n	khm:exe	ស្លឹកឈើប្រែពណ៌នៅរដូវលំហើយ។
02107442-v	khm:lemma	ស្ដាប់
02107442-v	khm:exe	ក្មេងៗស្ដាប់ចំហរមាត់លោកតានិទានរឿងសុភាទន្សាយ។
02169891-v	khm:lemma	ស្ដាប់
02169891-v	khm:exe	ក្មេងៗស្ដាប់ចំហរមាត់លោកតានិទានរឿងសុភាទន្សាយ។
02242464-v	khm:lemma	លក់
02242464-v	khm:exe	ហាងបាយតាមសាលាលក់ថោក។
00271022-a	khm:lemma	ខ្ចី
00271022-a	khm:exe	ក្នុងគ្រានោះ នាងវិធាវីពាក់អាវទំនើបថ្មីពណ៌កុលាបខ្ចី។
00396523-a	khm:lemma	ខ្ចី
00396523-a	khm:exe	ក្នុងគ្រានោះ នាងវិធាវីពាក់អាវទំនើបថ្មីពណ៌កុលាបខ្ចី។
00269989-a	khm:lemma	ខ្ចី
00269989-a	khm:exe	ក្នុងគ្រានោះ នាងវិធាវីពាក់អាវទំនើបថ្មីពណ៌កុលាបខ្ចី។
00278551-a	khm:lemma	ខ្ចី
00278551-a	khm:exe	ក្នុងគ្រានោះ នាងវិធាវីពាក់អាវទំនើបថ្មីពណ៌កុលាបខ្ចី។
02924116-n	khm:lemma	ឡានក្រុង
02924116-n	khm:exe	ឡានក្រុងមិនរត់តាមមហាវិថីសំខាន់ៗទេ។
01614426-v	khm:lemma	បិទ
01614426-v	khm:exe	ក្នុងបន្ទប់រៀនមានបិទពាក្យស្លោកច្រើន។
80001230-x	khm:lemma	បាទ
80001230-x	khm:exe	បាទ យល់ហើយ។
01184932-a	khm:lemma	ធ្ងន់
01184932-a	khm:exe	កាបូបនេះធ្ងន់ណាស់យួរមិនរួចទេ។
07881800-n	khm:lemma	ភេសជ្ជៈ
07881800-n	khm:exe	គេរៀបភេសជ្ជៈទទួលភ្ញៀវចូលបុណ្យ។
01119192-a	khm:lemma	ពូកែ
01119192-a	khm:exe	អ្ហា លោកពូកែហែលទឹក មែនទេ?
02226162-a	khm:lemma	ពូកែ
02226162-a	khm:exe	អ្ហា លោកពូកែហែលទឹក មែនទេ?
01838916-a	khm:lemma	ពូកែ
01838916-a	khm:exe	អ្ហា លោកពូកែហែលទឹក មែនទេ?
03467517-n	khm:lemma	ហ្គីតា
03467517-n	khm:exe	គាត់ដេញហ្គីតាស្ទាត់ណាស់។
03613294-n	khm:lemma	សោ
03613294-n	khm:exe	គ្រាន់តែចូលទៅក្នុងបន្ទប់ភ្លាមលោកចាក់សោភ្លាម។
01553629-a	khm:lemma	ច្រើន
01553629-a	khm:exe	ក្រុងភ្នំពេញមានសួនច្បារសាធារណៈច្រើន។
01551633-a	khm:lemma	ច្រើន
01551633-a	khm:exe	ក្រុងភ្នំពេញមានសួនច្បារសាធារណៈច្រើន។
01552419-a	khm:lemma	ច្រើន
01552419-a	khm:exe	ក្រុងភ្នំពេញមានសួនច្បារសាធារណៈច្រើន។
00127137-a	khm:lemma	ចាស់
00127137-a	khm:exe	ផ្លូវរទេះភ្លើងចាស់ទ្រុឌទ្រោម។
01638438-a	khm:lemma	ចាស់
01638438-a	khm:exe	ផ្លូវរទេះភ្លើងចាស់ទ្រុឌទ្រោម។
01729384-a	khm:lemma	ចាស់
01729384-a	khm:exe	ផ្លូវរទេះភ្លើងចាស់ទ្រុឌទ្រោម។
10694258-n	khm:lemma	គ្រូ
10694258-n	khm:exe	គ្រូៗសាលានេះកំពុងជួបគ្នា ដើម្បីរើសប្រធានរបស់ពួកគេ។
07859284-n	khm:lemma	ស្ករ
07859284-n	khm:exe	បនា្ទប់មក យកខ្ទិះដូង ស្ករ ពងមាន់ ដាក់ក្នុងចានគោមហើយវាយឲ្យសព្វចូលគា្ន។
09605289-n	khm:lemma	មនុស្សពេញវ័យ
09605289-n	khm:exe	ចុះអត្រាអក្ខរភាពមនុស្សពេញវ័យ ប៉ុន្មានភាគរយ?
04081281-n	khm:lemma	ហាង
04081281-n	khm:exe	ហាងបាយតាមសាលាលក់ថោក។
04081281-n	khm:lemma	ហាងបាយ
04081281-n	khm:exe	ហាងបាយតាមសាលាលក់ថោក។
10448983-n	khm:lemma	ប៉ូលីស
10448983-n	khm:exe	ប៉ូលីសដើរល្បាតតាមកន្លែងស្ងាត់។
10448983-n	khm:lemma	ប៉ូលីស
10448983-n	khm:exe	ឥឡូវមានប៉ូលិសយាមតាមសាលា។
90000507-n	khm:lemma	អាទិត្យនេះ
90000507-n	khm:exe	អាទិត្យនេះ យើងមានសិក្ខាសាលា។
02686568-n	khm:lemma	កប៉ាល់ហោះ
02686568-n	khm:exe	គាត់កក់សំបុត្រកប៉ាល់ហោះទៅបាងកកហើយ។
02691156-n	khm:lemma	កប៉ាល់ហោះ
02691156-n	khm:exe	គាត់កក់សំបុត្រកប៉ាល់ហោះទៅបាងកកហើយ។
08420278-n	khm:lemma	ធនាគារ
08420278-n	khm:exe	បាទ ខ្ញុំចង់បើកកុងធនាគារថ្មី។
02787772-n	khm:lemma	ធនាគារ
02787772-n	khm:exe	បាទ ខ្ញុំចង់បើកកុងធនាគារថ្មី។
02018049-v	khm:lemma	ជិះ
02018049-v	khm:exe	ចាស ឧទាហរណ៍ទីមួយ នៅស្រុកខែ្មរ គេជិះយានយន្ត ប្រកាន់ស្តាំ។
02324026-v	khm:lemma	ខ្ចី
02324026-v	khm:exe	ដល់ពេលអានចប់ សុំខ្ចី បានទេ?
01447257-v	khm:lemma	រុញ
01447257-v	khm:exe	ឡាននេះអស់អាគុយ ទាល់តែរុញទើបបញ្ឆេះឆេះ។
02398378-a	khm:lemma	ហឹរ
02398378-a	khm:exe	ម្ទេសខ្មាំងតូច តែហឹរខ្លាំង។
02397732-a	khm:lemma	ហឹរ
02397732-a	khm:exe	ម្ទេសខ្មាំងតូច តែហឹរខ្លាំង។
06628228-n	khm:lemma	កាតប៉ុស្តាល់
06628228-n	khm:exe	គាត់ទិញកាតប៉ុស្តាល់សំរាប់សរសេរទៅមិត្តគាត់។
06627938-n	khm:lemma	កាតប៉ុស្តាល់
06627938-n	khm:exe	គាត់ទិញកាតប៉ុស្តាល់សំរាប់សរសេរទៅមិត្តគាត់។
03959485-n	khm:lemma	ចាន
03959485-n	khm:exe	ទិញបារីនេះមួយសុង គេលើសឲ្យចានគោះបារីមួយ។
00393105-a	khm:lemma	ស
00393105-a	khm:exe	ឥឡូវមិនងាយរកទិញហ្វីលម៍សខ្មៅទេ។
08625073-n	khm:lemma	ស្ដាំ
08625073-n	khm:exe	ចរាចរស្រុកខ្មែរប្រកាន់ស្តាំ។
03051540-n	khm:lemma	អាវ
03051540-n	khm:exe	នៅខែក្ដៅ គេស្លៀកពាក់អាវស្ដើង។
02728440-n	khm:lemma	អាវ
02728440-n	khm:exe	នៅខែក្ដៅ គេស្លៀកពាក់អាវស្ដើង។
02728440-n	khm:lemma	ខោអាវ
02728440-n	khm:exe	រាល់ថ្ងៃអាទិត្យ ខ្ញុំបោកគក់ខោអាវច្រើន។
03419014-n	khm:lemma	អាវ
03419014-n	khm:exe	នៅខែក្ដៅ គេស្លៀកពាក់អាវស្ដើង។
15165289-n	khm:lemma	ពេលព្រឹក
15165289-n	khm:exe	នៅជប៉ុន គាត់ញ៉ាំអាហារពេលព្រឹកប្រញាប់ពេកសឹងតែច្រកអាហារខុសមាត់។
15165289-n	khm:lemma	ពេលព្រឹក
15165289-n	khm:exe	ពេលព្រឹកម៉ោង៧កន្លះ ជាពេលគោរពទង់ជាតិ។
00109151-r	khm:lemma	កន្លែងនោះ
00109151-r	khm:exe	ឡានចតត្រង់កន្លែងនោះ ត្រូវប៉ូលីសស្ទូចបាត់។
03720163-n	khm:lemma	ផែនទី
03720163-n	khm:exe	ធីតា នៅក្នុងផែនទីនេះ ខេត្តរតនគីរីនៅត្រង់ណា?
00024996-a	khm:lemma	ថ្មី
00024996-a	khm:exe	បាទ ខ្ញុំចង់បើកកុងធនាគារថ្មី។
01642477-a	khm:lemma	ថ្មី
01642477-a	khm:exe	បាទ ខ្ញុំចង់បើកកុងធនាគារថ្មី។
01641648-a	khm:lemma	ថ្មី
01641648-a	khm:exe	បាទ ខ្ញុំចង់បើកកុងធនាគារថ្មី។
01687167-a	khm:lemma	ថ្មី
01687167-a	khm:exe	បាទ ខ្ញុំចង់បើកកុងធនាគារថ្មី។
02584699-a	khm:lemma	ថ្មី
02584699-a	khm:exe	បាទ ខ្ញុំចង់បើកកុងធនាគារថ្មី។
01686439-a	khm:lemma	ថ្មី
01686439-a	khm:exe	បាទ ខ្ញុំចង់បើកកុងធនាគារថ្មី។
02070491-a	khm:lemma	ថ្មី
02070491-a	khm:exe	បាទ ខ្ញុំចង់បើកកុងធនាគារថ្មី។
02013758-a	khm:lemma	ថ្មី
02013758-a	khm:exe	បាទ ខ្ញុំចង់បើកកុងធនាគារថ្មី។
01640850-a	khm:lemma	ថ្មី
01640850-a	khm:exe	បាទ ខ្ញុំចង់បើកកុងធនាគារថ្មី។
00894552-n	khm:lemma	លំហាត់
00894552-n	khm:exe	គ្រូដាក់លំហាត់ឲ្យធ្វើនៅផ្ទះ។
01292683-a	khm:lemma	ចូលចិត្ត
01292683-a	khm:exe	គេចូលចិត្តដាំឈូកក្នុងស្រះដើម្បីឲ្យទឹកស្អាត។
01777210-v	khm:lemma	ចូលចិត្ត
01777210-v	khm:exe	គេចូលចិត្តដាំឈូកក្នុងស្រះដើម្បីឲ្យទឹកស្អាត។
03038685-n	khm:lemma	បន្ទប់រៀន
03038685-n	khm:exe	ក្នុងបន្ទប់រៀនមានបិទពាក្យស្លោកច្រើន។
00296131-r	khm:lemma	ប្រហែល
00296131-r	khm:exe	ចាស ប្រហែលជា មិនអីទេ។
00154449-r	khm:lemma	ប្រហែល
00154449-r	khm:exe	ចាស ប្រហែលជា មិនអីទេ។
03001627-n	khm:lemma	កៅអី
03001627-n	khm:exe	តុរោងការនីមួយៗ គេរៀបកៅអី១០។
01734929-v	khm:lemma	ចម្លង
01734929-v	khm:exe	យកមេរៀននេះទៅថតចម្លងចែកគ្នារៀន។
01914947-v	khm:lemma	រត់
01914947-v	khm:exe	ឡានក្រុងមិនរត់តាមមហាវិថីសំខាន់ៗទេ។
01926311-v	khm:lemma	រត់
01926311-v	khm:exe	ឡានក្រុងមិនរត់តាមមហាវិថីសំខាន់ៗទេ។
02005496-v	khm:lemma	ត្រឡប់ទៅ
02005496-v	khm:exe	វ៉ាកងធំ សិស្ស និស្សិត ត្រឡប់ទៅជួយការងារស្រែចំការរបស់ឪពុកម្តាយខ្លួន។
04379243-n	khm:lemma	តុ
04379243-n	khm:exe	តុរោងការនីមួយៗ គេរៀបកៅអី១០។
04298308-n	khm:lemma	ជណ្ដើរ
04298308-n	khm:exe	ឡើងជណ្តើរដល់ជាន់ទី១០ហត់ហារមាត់គឃូស។
00037919-v	khm:lemma	ត្រាំទឹកក្តៅ
00037919-v	khm:exe	គាត់ទិញសំបុត្រដើម្បីចូលត្រាំទឹកក្ដៅ។
01532589-v	khm:lemma	បោស
01532589-v	khm:exe	បាទ លុបមុខ បោសសំអាតផ្ទះ បោកខោអាវ ហើយរៀបចំបាយព្រឹកសម្រាប់់ប្រពន្ធកូនខ្ញុំ។
01533442-v	khm:lemma	បោស
01533442-v	khm:exe	បាទ លុបមុខ បោសសំអាតផ្ទះ បោកខោអាវ ហើយរៀបចំបាយព្រឹកសម្រាប់់ប្រពន្ធកូនខ្ញុំ។
07663592-n	khm:lemma	សាច់គោ
07663592-n	khm:exe	សាច់គោថ្លៃជាងសាច់មាន់។
08182962-n	khm:lemma	ហ្វូង
08182962-n	khm:exe	ហ្វូងមនុស្សកកកុញទៅមើលបុណ្យអុំទូក។
08182379-n	khm:lemma	ហ្វូង
08182379-n	khm:exe	ហ្វូងមនុស្សកកកុញទៅមើលបុណ្យអុំទូក។
80000079-n	khm:lemma	ខែមុន
80000079-n	khm:exe	ខែមុន ខ្ញុំមិនបានដើរលេងសោះ។
10020890-n	khm:lemma	ពេទ្យ
10020890-n	khm:exe	ចាស លោកគ្រូពេទ្យថា អាទិត្យក្រោយ ប្តីខ្ញុំអាចទៅធ្វើការបានហើយ។
10305802-n	khm:lemma	ពេទ្យ
10305802-n	khm:exe	ចាស លោកគ្រូពេទ្យថា អាទិត្យក្រោយ ប្តីខ្ញុំអាចទៅធ្វើការបានហើយ។
03710193-n	khm:lemma	ប្រអប់សំបុត្រ
03710193-n	khm:exe	ស្រុកខ្មែរមិនទាន់មានប្រអប់សំបុត្រសាធារណៈនៅឡើយទេ។
03989074-n	khm:lemma	ប្រអប់សំបុត្រ
03989074-n	khm:exe	ស្រុកខ្មែរមិនទាន់មានប្រអប់សំបុត្រសាធារណៈនៅឡើយទេ។
15136147-n	khm:lemma	អាទិត្យ
15136147-n	khm:exe	រាល់អាទិត្យ គាត់ទៅវត្ត១ដងយ៉ាងតិច។
15169873-n	khm:lemma	អាទិត្យ
15169873-n	khm:exe	រាល់អាទិត្យ គាត់ទៅវត្ត១ដងយ៉ាងតិច។
15211806-n	khm:lemma	ខែមិថុនា
15211806-n	khm:exe	នៅជប៉ុន ខែមិថុនាជារដូវភ្លៀងធ្លាក់សស្រិច។
04489008-n	khm:lemma	ខោ
04489008-n	khm:exe	ពាក់ស្បែកជើងផ្ទាត់ ផ្ទាត់ភក់ប្រឡាក់ខោអស់។
04230808-n	khm:lemma	សំពត់
04230808-n	khm:exe	យុវតីនេះចូលចិត្តស្លៀកសំពត់ខើចមុខខើចក្រោយ។
08544813-n	khm:lemma	ប្រទេស
08544813-n	khm:exe	ហេតុអ្វី នាងសម្រេចចិត្តទៅរៀនប្រទេសជប៉ុន?
08490199-n	khm:lemma	ប្រទេស
08490199-n	khm:exe	ហេតុអ្វី នាងសម្រេចចិត្តទៅរៀនប្រទេសជប៉ុន?
00081737-r	khm:lemma	រាល់ឆ្នាំ
00081737-r	khm:exe	រាល់ឆ្នាំ ប្រទេសនេះប្រារព្ធបុណ្យឯករាជ្យតាមខេត្តនីមួយៗរបស់ខ្លួន។
00018158-v	khm:lemma	ក្រោក
00018158-v	khm:exe	បាទ ក្រោកម៉ោង៤។
05538625-n	khm:lemma	ក្បាល
05538625-n	khm:exe	គេដេកបែរក្បាលទៅត្បូង។
02418686-v	khm:lemma	លេង
02418686-v	khm:exe	ខែមុន ខ្ញុំមិនបានដើរលេងសោះ។
04965661-n	khm:lemma	លឿង
04965661-n	khm:exe	ពណ៌លឿង និងពណ៌បៃតងជាពណ៌ជាតិរបស់ប្រទេសប្រេស៊ីល។
02561888-a	khm:lemma	ចង្អៀត
02561888-a	khm:exe	ផ្ទះចង្អៀត តែចិត្តម្ចាស់ផ្ទះទូលាយ។
00476663-a	khm:lemma	ចង្អៀត
00476663-a	khm:exe	ផ្ទះចង្អៀត តែចិត្តម្ចាស់ផ្ទះទូលាយ។
05137165-n	khm:lemma	កំពស់
05137165-n	khm:exe	ផ្ទៃរាងត្រីកោណ ស្មើនឹងបាតគុណនឹងកំពស់ ហើយចែកនឹង២។
05131647-n	khm:lemma	កំពស់
05131647-n	khm:exe	ផ្ទៃរាងត្រីកោណ ស្មើនឹងបាតគុណនឹងកំពស់ ហើយចែកនឹង២។
00009966-r	khm:lemma	សូម
00009966-r	khm:exe	សូមប្រយ័ត្នរបស់របរ នៅកនែ្លងដែលមានមនុស្សច្រើន។
00009966-r	khm:lemma	អញ្ជើញ
00009966-r	khm:exe	សូមអញ្ជើញ។
10103485-n	khm:lemma	ជនបរទេស
10103485-n	khm:exe	ជនបរទេសមកសុំទិដ្ឋាការនៅស្ថានទូតកម្ពុជា។
02958343-n	khm:lemma	ឡាន
02958343-n	khm:exe	ប្រយ័ត្ន! លោកស្ទើរតែត្រូវឡានកៀរ អម្បាញ់មិញ។
03924069-n	khm:lemma	ថាសចម្រៀង
03924069-n	khm:exe	សម័យនេះ គេឈប់ប្រើថាសចម្រៀងចាក់ពិគុបទៀតហើយ។
10332385-n	khm:lemma	ម្ដាយ
10332385-n	khm:exe	ម្ដាយនាងឈឺពេញដប់ខែ ស្រែនាងទាំងប៉ុន្មាននាងលក់មើលរោគម្ដាយអស់។
10332385-n	khm:lemma	ម្ដាយ
10332385-n	khm:exe	ម្ដាយនាងឈឺពេញដប់ខែ ស្រែនាងទាំងប៉ុន្មាននាងលក់មើលរោគម្ដាយអស់។
02410855-v	khm:lemma	ធ្វើការ
02410855-v	khm:exe	ឳពុកម្ដាយធ្វើការឥតស្រាក ដើម្បីចិញ្ចឹមកូន។
07668702-n	khm:lemma	សាច់ជ្រូក
07668702-n	khm:exe	ចាស មានគុយទាវ បបរ និងបាយសាច់ជ្រូក។
00081836-n	khm:lemma	ទិញអីវ៉ាន់
00081836-n	khm:exe	ទៅទិញអីវ៉ាន់សំរាប់ទៅបុណ្យស្អែក។
04203889-n	khm:lemma	ទិញអីវ៉ាន់
04203889-n	khm:exe	ទៅទិញអីវ៉ាន់សំរាប់ទៅបុណ្យស្អែក។
13836136-n	khm:lemma	លិច
13836136-n	khm:exe	ប្រទេសខ្មែរមានព្រំប្រទល់ខាងលិចទល់នឹងប្រទេសថៃ និងឈូងសមុទ្រសៀម។
02368336-a	khm:lemma	ផ្អែម
02368336-a	khm:exe	បបរស្ករនេះ បើថែមអំបិលបន្ដិច វានឹងផ្អែមឆ្ងាញ់។
04254777-n	khm:lemma	ស្រោមជើង
04254777-n	khm:exe	កូនសិស្សនេះមិនទាន់ចេះពាក់ស្រោមជើងនៅឡើយ។
01845229-v	khm:lemma	ធ្វើដំណើរ
01845229-v	khm:exe	គាត់ត្រូវការសំបុត្រឆ្លងដែន ដើម្បីធ្វើដំណើរទៅបរទេស។
01846916-v	khm:lemma	ធ្វើដំណើរ
01846916-v	khm:exe	គាត់ត្រូវការសំបុត្រឆ្លងដែន ដើម្បីធ្វើដំណើរទៅបរទេស។
01845720-v	khm:lemma	ធ្វើដំណើរ
01845720-v	khm:exe	គាត់ត្រូវការសំបុត្រឆ្លងដែន ដើម្បីធ្វើដំណើរទៅបរទេស។
00061203-r	khm:lemma	ក្រោយ
00061203-r	khm:exe	គ្រានោះ មានឈ្នួលម្នាក់លីវ៉ាលីសស្បែកមួយធំនៅលើស្មាឆ្វេងនិងយួរកូនវ៉ាលីសតូចមួយនៅដៃស្ដាំ ដើរតាមក្រោយស្ត្រីទាំងបីប្រាណ។
10112591-n	khm:lemma	មិត្ត
10112591-n	khm:exe	គាត់ទិញកាតប៉ុស្តាល់សំរាប់សរសេរទៅមិត្តគាត់។
08588294-n	khm:lemma	ក្នុង
08588294-n	khm:exe	ខ្ញុំត្រូវតែឆែកមើលខាងក្នុង។
08588152-n	khm:lemma	ក្នុង
08588152-n	khm:exe	ខ្ញុំត្រូវតែឆែកមើលខាងក្នុង។
77000021-n	khm:lemma	គាត់ឯង
77000021-n	khm:exe	យើងមិនបានធ្វើអ្វីដែលគាត់ឯងចោទនោះទេ។
77000021-n	khm:lemma	លោក
77000021-n	khm:exe	លោកអញ្ជើញពីខាងណាមានការអ្វីដែរបាទ?
02771169-v	khm:lemma	ស្រឡះ
02771169-v	khm:exe	មេឃស្រឡះគ្មានពពកមួយដុំសោះ។
77000061-a	khm:lemma	នេះ
77000061-a	khm:exe	យកមេរៀននេះទៅថតចម្លងចែកគ្នារៀន។
80001619-a	khm:lemma	នេះ
80001619-a	khm:exe	យកមេរៀននេះទៅថតចម្លងចែកគ្នារៀន។
77000075-a	khm:lemma	នេះ
77000075-a	khm:exe	យកមេរៀននេះទៅថតចម្លងចែកគ្នារៀន។
04018667-n	khm:lemma	បន្ទប់ទឹក
04018667-n	khm:exe	បន្ទប់ទឹកសាធារណៈយកលុយ។
08649345-n	khm:lemma	ទទឹង
08649345-n	khm:exe	ផ្លូវជាតិនេះធំ ទទឹងផ្លូវបើកឡាន៤ទន្ទឹមគ្នាបាន។
08649345-n	khm:lemma	ម្តុំ
08649345-n	khm:exe	ផ្ទះវីឡាម្តុំទួលគោក មានសួនច្បារធំៗ។
08649345-n	khm:lemma	ក្បែរ
08649345-n	khm:exe	សូផាតដោះចិញ្ចៀនទុកនៅក្បែរពាងទឹក។
05136150-n	khm:lemma	ទទឹង
05136150-n	khm:exe	ផ្លូវជាតិនេះធំ ទទឹងផ្លូវបើកឡាន៤ទន្ទឹមគ្នាបាន។
15211484-n	khm:lemma	ខែឧសភា
15211484-n	khm:exe	នៅជប៉ុន ខែឧសភាមានថ្ងៃឈប់ជាប់ៗគ្នាច្រើនជាងគេ។
05563770-n	khm:lemma	ដៃ
05563770-n	khm:exe	ប៉ុនកំភួនដៃ។
15165490-n	khm:lemma	ពេលថ្ងៃ
15165490-n	khm:exe	ញ៉ាំបាយពេលថ្ងៃហើយ ទន់ត្របកភ្នែក។
04272054-n	khm:lemma	វ៉ែនតា
04272054-n	khm:exe	បើមិនពាក់វ៉ែនតា គាត់មើលអក្សរមិនឃើញទេ។
80000746-n	khm:lemma	អក្សរចិន
80000746-n	khm:exe	ខ្ញុំហាត់សរសេរអក្សរចិន។
10287213-n	khm:lemma	ប្រុស
10287213-n	khm:exe	គាត់មានបងប្អូនប្រុស៣នាក់​ហើយគាត់ជាកូនច្បង។
09624168-n	khm:lemma	ប្រុស
09624168-n	khm:exe	គាត់មានបងប្អូនប្រុស៣នាក់​ហើយគាត់ជាកូនច្បង។
15164105-n	khm:lemma	ថ្ងៃអង្គារ
15164105-n	khm:exe	តាមជំនឿ គេមិនបូជាសពថ្ងៃអង្គារទេ។
77000099-n	khm:lemma	ទាំងអស់គ្នា
77000099-n	khm:exe	អ្នកភូមិទាំងអស់គ្នារួមគ្នាលើកថ្នល់។
