# TUFS Basic Malay Wordnet	zsm http://www.coelang.tufs.ac.jp/mt/ms/	CC BY 4.0
00127137-a	zsm:lemma	lama
00127137-a	zsm:exe	Kasut ini sudah lama.
01638438-a	zsm:lemma	lama
01638438-a	zsm:exe	Kasut ini sudah lama.
01729384-a	zsm:lemma	lama
01729384-a	zsm:exe	Kasut ini sudah lama.
10694258-n	zsm:lemma	guru; cikgu
10694258-n	zsm:lemma	guru; cikgu
10694258-n	zsm:exe	Ayah saya guru.
07859284-n	zsm:lemma	gula
07859284-n	zsm:exe	Saya memasukkan gula dan minum kopi.
09605289-n	zsm:lemma	déwasa
09605289-n	zsm:exe	Arak boleh diminum setelah menjadi dewasa.
04081281-n	zsm:lemma	réstoran
04081281-n	zsm:exe	Sebuah restoran baru dibuka berhampiran stesen.
04081281-n	zsm:lemma	kantin
04081281-n	zsm:exe	Saya bangun pada pukul tujuh pagi, makan sarapan di kantin dan berlatih dari pukul lapan. 
10448983-n	zsm:lemma	anggota polis
10448983-n	zsm:exe	Ada ramai anggota polis di persimpangan.
10448983-n	zsm:lemma	pegawai polis
10448983-n	zsm:exe	Pegawai polis memberitahu saya jalan ke stesen.
90000507-n	zsm:lemma	minggu ini
90000507-n	zsm:exe	Kelas bahasa Jepun tidak ada pada minggu ini.
02686568-n	zsm:lemma	kapal terbang
02686568-n	zsm:exe	Saya sering berulang-alik di antara Tokyo dan Osaka dengan kapal terbang. 
02691156-n	zsm:lemma	kapal terbang
02691156-n	zsm:exe	Saya sering berulang-alik di antara Tokyo dan Osaka dengan kapal terbang. 
08420278-n	zsm:lemma	bank
08420278-n	zsm:exe	Bank buka dari pukul sembilan pagi hingga tiga petang.
02787772-n	zsm:lemma	bank
02787772-n	zsm:exe	Bank buka dari pukul sembilan pagi hingga tiga petang.
02018049-v	zsm:lemma	naik
02018049-v	zsm:exe	Saya tidak berjalan kaki ke sekolah tetapi naik bas.
02324026-v	zsm:lemma	meminjam (brk:pinjam)
02324026-v	zsm:exe	Saya meminjam buku daripada perpustakaan dan telah membacanya.
01447257-v	zsm:lemma	tekan
01447257-v	zsm:exe	Kalau tekan sini, kopi akan keluar.
02398378-a	zsm:lemma	pedas
02398378-a	zsm:exe	Kari ini sangat pedas.
02397732-a	zsm:lemma	pedas
02397732-a	zsm:exe	Kari ini sangat pedas.
06628228-n	zsm:lemma	poskad
06628228-n	zsm:exe	Saya hantar poskad kepada Encik Matsui.
06627938-n	zsm:lemma	poskad
06627938-n	zsm:exe	Saya hantar poskad kepada Encik Matsui.
03959485-n	zsm:lemma	pinggan
03959485-n	zsm:exe	Saya akan guna pinggan baru.
00393105-a	zsm:lemma	putih
00393105-a	zsm:exe	Kereta Encik Tanaka putih dan besar.
08625073-n	zsm:lemma	kanan
08625073-n	zsm:exe	Encik Yamada ada di sebelah kanan Encik Tanaka. 
02728440-n	zsm:lemma	pakaian Barat
02728440-n	zsm:exe	Saya beli pakaian Barat yang baru di pusat membeli-belah.
15165289-n	zsm:lemma	pagi
15165289-n	zsm:exe	Hari ini ada kelas dari pagi sampai petang. 
15165289-n	zsm:lemma	pagi
15165289-n	zsm:exe	Esok saya akan ada di sekolah pada sebelah pagi.
00109151-r	zsm:lemma	sana; itu
00109151-r	zsm:lemma	sana; itu
00109151-r	zsm:exe	Jangan pergi ke sana kerana berbahaya.
03720163-n	zsm:lemma	peta
03720163-n	zsm:exe	Saya tengok peta kerana saya tidak tahu jalan.
00024996-a	zsm:lemma	baru
00024996-a	zsm:exe	Saya dengar dari guru bahawa ada pelajar baru akan datang pada bulan depan.
01642477-a	zsm:lemma	baru
01642477-a	zsm:exe	Saya dengar dari guru bahawa ada pelajar baru akan datang pada bulan depan.
01641648-a	zsm:lemma	baru
01641648-a	zsm:exe	Saya dengar dari guru bahawa ada pelajar baru akan datang pada bulan depan.
01687167-a	zsm:lemma	baru
01687167-a	zsm:exe	Saya dengar dari guru bahawa ada pelajar baru akan datang pada bulan depan.
02584699-a	zsm:lemma	baru
02584699-a	zsm:exe	Saya dengar dari guru bahawa ada pelajar baru akan datang pada bulan depan.
01686439-a	zsm:lemma	baru
01686439-a	zsm:exe	Saya dengar dari guru bahawa ada pelajar baru akan datang pada bulan depan.
02070491-a	zsm:lemma	baru
02070491-a	zsm:exe	Saya dengar dari guru bahawa ada pelajar baru akan datang pada bulan depan.
02013758-a	zsm:lemma	baru
02013758-a	zsm:exe	Saya dengar dari guru bahawa ada pelajar baru akan datang pada bulan depan.
01640850-a	zsm:lemma	baru
01640850-a	zsm:exe	Saya dengar dari guru bahawa ada pelajar baru akan datang pada bulan depan.
00894552-n	zsm:lemma	latihan; berlatih
00894552-n	zsm:lemma	latihan; berlatih
00894552-n	zsm:exe	Saya berlatih bermain tenis setiap hari selepas habis sekolah.
01292683-a	zsm:lemma	suka
01292683-a	zsm:exe	Makanan yang saya suka adalah kari. 
01777210-v	zsm:lemma	suka
01777210-v	zsm:exe	Makanan yang saya suka adalah kari. 
03038685-n	zsm:lemma	bilik darjah
03038685-n	zsm:exe	Saya nak keluar dari bilik darjah. 
03001627-n	zsm:lemma	kerusi
03001627-n	zsm:exe	Saya bercerita sambil duduk di kerusi.
01734929-v	zsm:lemma	membuat (brk:buat)
01734929-v	zsm:exe	Saya membuat salinan buku di perpustakaan.
01914947-v	zsm:lemma	berlari (brk:lari)
01914947-v	zsm:exe	Saya lihat Encik Tanaka berlari.
01926311-v	zsm:lemma	berlari (brk:lari)
01926311-v	zsm:exe	Saya lihat Encik Tanaka berlari.
02005496-v	zsm:lemma	balik
02005496-v	zsm:exe	Sudah masanya saya balik ke rumah hari ini.
04379243-n	zsm:lemma	méja
04379243-n	zsm:exe	Ada pasu bunga di atas meja.
04298308-n	zsm:lemma	tangga
04298308-n	zsm:exe	Saya tidak naik lif tetapi saya guna tangga.
00037919-v	zsm:lemma	mandi
00037919-v	zsm:exe	Setiap malam, saya tidur selepas mandi. 
01532589-v	zsm:lemma	membersihkan
01532589-v	zsm:exe	Selepas balik, saya nak membersihkan rumah.
01533442-v	zsm:lemma	membersihkan
01533442-v	zsm:exe	Selepas balik, saya nak membersihkan rumah.
07663592-n	zsm:lemma	daging lembu
07663592-n	zsm:exe	Daging lembu adalah paling mahal di antara semua jenis daging.
08182962-n	zsm:lemma	ramai
08182962-n	zsm:exe	Ramai orang sedang berenang di laut.
08182379-n	zsm:lemma	ramai
08182379-n	zsm:exe	Ramai orang sedang berenang di laut.
80000079-n	zsm:lemma	bulan lepas
80000079-n	zsm:exe	Baru sahaja saya memotong rambut bulan lepas tetapi rambut sudah panjang.
10020890-n	zsm:lemma	doktor
10020890-n	zsm:exe	Ayah Encik Yamada seorang doktor.
10305802-n	zsm:lemma	doktor
10305802-n	zsm:exe	Ayah Encik Yamada seorang doktor.
03710193-n	zsm:lemma	peti surat
03710193-n	zsm:exe	Peti surat ada di depan pejapat pos dan dekat stesen.
03989074-n	zsm:lemma	peti surat
03989074-n	zsm:exe	Peti surat ada di depan pejapat pos dan dekat stesen.
04489008-n	zsm:lemma	seluar
04489008-n	zsm:exe	Saya tidak boleh memakai seluar ini kerana saiznya kecil.
04230808-n	zsm:lemma	skirt
04230808-n	zsm:exe	Cik Kobayashi lebih suka seluar daripada skirt.
08544813-n	zsm:lemma	negara
08544813-n	zsm:exe	Jepun adalah negara yang sempit.
08490199-n	zsm:lemma	negara
08490199-n	zsm:exe	Jepun adalah negara yang sempit.
00081737-r	zsm:lemma	setiap tahun
00081737-r	zsm:exe	Setiap tahun saya memberikan ibu hadiah hari jadi.
05538625-n	zsm:lemma	otak; kepala
05538625-n	zsm:lemma	otak; kepala
05538625-n	zsm:exe	Hari ini saya tidur awal kerana kepala saya sakit.
02418686-v	zsm:lemma	bermain
02418686-v	zsm:exe	Minggu depan saya akan pergi ke Tokyo bersama kawan dan bermain di sana.
04965661-n	zsm:lemma	kuning
04965661-n	zsm:exe	Saya menerima sapu tangan berwarna kuning semasa hari jadi.
02561888-a	zsm:lemma	sempit
02561888-a	zsm:exe	Jalan di bandar ini sempit.
00476663-a	zsm:lemma	sempit
00476663-a	zsm:exe	Jalan di bandar ini sempit.
00009966-r	zsm:lemma	silakan; tolong
00009966-r	zsm:lemma	silakan; tolong
00009966-r	zsm:exe	Benda ini barang biasa saja, tetapi silakan. 
10103485-n	zsm:lemma	warga asing
10103485-n	zsm:exe	Bercakap dengan warga asing sangat seronok
02958343-n	zsm:lemma	keréta
02958343-n	zsm:exe	Kereta buatan Jepun dijual di luar negara.
10332385-n	zsm:lemma	ibu
10332385-n	zsm:exe	Saya memberi hadiah hari jadi kepada ibu saya. 
10332385-n	zsm:lemma	emak
10332385-n	zsm:exe	Emak Encik Yamada sangat pandai memasak.
02410855-v	zsm:lemma	bekerja
02410855-v	zsm:exe	Saya akan bekerja selama lapan jam setiap hari.
07668702-n	zsm:lemma	daging babi
07668702-n	zsm:exe	Saya tidak boleh makan daging babi.
00081836-n	zsm:lemma	membeli-belah
00081836-n	zsm:exe	Saya pergi membeli-belah dengan kawan-kawan saya pada hari cuti.
04203889-n	zsm:lemma	membeli-belah
04203889-n	zsm:exe	Saya pergi membeli-belah dengan kawan-kawan saya pada hari cuti.
13836136-n	zsm:lemma	barat
13836136-n	zsm:exe	Kalau pergi ke arah barat sedikit dari sini, ada laut.
02368336-a	zsm:lemma	manis
02368336-a	zsm:exe	Kuih ini manis.
04254777-n	zsm:lemma	stoking
04254777-n	zsm:exe	Stoking ini tahan lama dan murah. 
01845229-v	zsm:lemma	melancong
01845229-v	zsm:exe	Saya fikir ingin melancong ke luar negara tahun depan.
01846916-v	zsm:lemma	melancong
01846916-v	zsm:exe	Saya fikir ingin melancong ke luar negara tahun depan.
01845720-v	zsm:lemma	melancong
01845720-v	zsm:exe	Saya fikir ingin melancong ke luar negara tahun depan.
10112591-n	zsm:lemma	kawan
10112591-n	zsm:exe	Esok saya akan pergi menonton filem dengan kawan saya. 
08588294-n	zsm:lemma	dalam
08588294-n	zsm:exe	Ada anjing kecil di dalam kotak. 
08588152-n	zsm:lemma	dalam
08588152-n	zsm:exe	Ada anjing kecil di dalam kotak. 
77000021-n	zsm:lemma	awak
77000021-n	zsm:exe	Apakah pekerjaan awak?
02771169-v	zsm:lemma	cerah
02771169-v	zsm:exe	Esok kalau cerah, mari kita bermain tenis. 
77000061-a	zsm:lemma	ini
77000061-a	zsm:exe	Bangunan ini lama dan terkenal. 
80001619-a	zsm:lemma	ini
80001619-a	zsm:exe	Bangunan ini lama dan terkenal. 
77000075-a	zsm:lemma	ini
77000075-a	zsm:exe	Bangunan ini lama dan terkenal. 
04018667-n	zsm:lemma	tandas
04018667-n	zsm:exe	Tandas ada di tingkat dua.
08649345-n	zsm:lemma	sebelah; panjang
08649345-n	zsm:lemma	sebelah; panjang
08649345-n	zsm:exe	Salon kecantikan ada di sebelah stesen. 
08649345-n	zsm:lemma	dekat
08649345-n	zsm:exe	Beg yang terletak dekat dengan saya sudah diberikan kepada Encik Matsui.
08649345-n	zsm:lemma	sebelah
08649345-n	zsm:exe	Kedai kopi itu ada di sebelah kedai buku.
05136150-n	zsm:lemma	sebelah; panjang
05136150-n	zsm:lemma	sebelah; panjang
05136150-n	zsm:exe	Salon kecantikan ada di sebelah stesen. 
15165490-n	zsm:lemma	tengah hari
15165490-n	zsm:exe	Saya pergi ke kedai kopi bersama Encik Kimura pada waktu tengah hari semalam.
04272054-n	zsm:lemma	cermin mata
04272054-n	zsm:exe	Orang yang pakai cermin mata itu Encik Matsui.
80000746-n	zsm:lemma	kanji
80000746-n	zsm:exe	Walaupun saya belajar bahasa Jepun setiap hari, saya masih tidak boleh hafal kanji. 
10287213-n	zsm:lemma	lelaki
10287213-n	zsm:exe	Lekaki itu tinggi dan berkaki panjang.
09624168-n	zsm:lemma	lelaki
09624168-n	zsm:exe	Lekaki itu tinggi dan berkaki panjang.
15164105-n	zsm:lemma	hari Selasa
15164105-n	zsm:exe	Awak mesti memulangkan buku sampai hari Selasa.
77000099-n	zsm:lemma	semua
77000099-n	zsm:exe	Kita semua menyanyi lagu bersama-sama.
00479391-v	zsm:lemma	memadamkan (brk:padam)
00479391-v	zsm:exe	Apabila keluar, saya terlupa untuk memadamkan lampu.
08489627-n	zsm:lemma	sana
08489627-n	zsm:exe	Kantin terletak di dalam bangunan sana.
01168468-v	zsm:lemma	makan
01168468-v	zsm:exe	Selepas habis makan, saya menggosok gigi. 
01166351-v	zsm:lemma	makan
01166351-v	zsm:exe	Selepas habis makan, saya menggosok gigi. 
01179865-v	zsm:lemma	makan
01179865-v	zsm:exe	Selepas habis makan, saya menggosok gigi. 
02818832-n	zsm:lemma	katil
02818832-n	zsm:exe	Saya sentiasa tidur di atas katil.
90000503-n	zsm:lemma	tahun depan
90000503-n	zsm:exe	Mulai tahun depan, abang saya akan bekerja di bank. 
08168367-n	zsm:lemma	luar negara
08168367-n	zsm:exe	Kita bawa pasport apabila ingin ke luar negara.
02560548-a	zsm:lemma	luas
02560548-a	zsm:exe	Bilik saya tidak begitu luas.
01384212-a	zsm:lemma	luas
01384212-a	zsm:exe	Bilik saya tidak begitu luas.
01031256-v	zsm:lemma	hantar; memberi (brk:beri)
01031256-v	zsm:lemma	hantar; memberi (brk:beri)
01031256-v	zsm:exe	Cikgu memberi soalan.
01995211-v	zsm:lemma	hantar; memberi (brk:beri)
01995211-v	zsm:lemma	hantar; memberi (brk:beri)
01995211-v	zsm:exe	Cikgu memberi soalan.
00255710-n	zsm:lemma	mencuci pakaian
00255710-n	zsm:exe	Esok pagi saya mesti mencuci pakaian saya.
07110457-n	zsm:lemma	cerita; bercerita
07110457-n	zsm:lemma	cerita; bercerita
07110457-n	zsm:exe	Encik Matsui sedang bercerita dengan Encik Kobayashi.
00893243-n	zsm:lemma	cerita; bercerita
00893243-n	zsm:lemma	cerita; bercerita
00893243-n	zsm:exe	Encik Matsui sedang bercerita dengan Encik Kobayashi.
07221094-n	zsm:lemma	cerita; bercerita
07221094-n	zsm:lemma	cerita; bercerita
07221094-n	zsm:exe	Encik Matsui sedang bercerita dengan Encik Kobayashi.
07139316-n	zsm:lemma	cerita; bercerita
07139316-n	zsm:lemma	cerita; bercerita
07139316-n	zsm:exe	Encik Matsui sedang bercerita dengan Encik Kobayashi.
00031798-r	zsm:lemma	sudah
00031798-r	zsm:exe	Saya sudah makan tengah hari di kantin. 
07555863-n	zsm:lemma	makanan
07555863-n	zsm:exe	Makanan Jepun sedap tetapi mahal.
07560652-n	zsm:lemma	makanan
07560652-n	zsm:exe	Makanan Jepun sedap tetapi mahal.
00157412-r	zsm:lemma	kadang-kadang
00157412-r	zsm:exe	Saya kadang-kadang membeli barang di gerai sayur ini. 
00021212-r	zsm:lemma	kadang-kadang
00021212-r	zsm:exe	Saya kadang-kadang membeli barang di gerai sayur ini. 
03740161-n	zsm:lemma	ubat
03740161-n	zsm:exe	Saya terkena selesema, jadi saya makan ubat.
02318272-a	zsm:lemma	lurus; terus
02318272-a	zsm:lemma	lurus; terus
02318272-a	zsm:exe	Para pelajar beratur secara lurus di koridor.
02310895-a	zsm:lemma	lurus; terus
02310895-a	zsm:lemma	lurus; terus
02310895-a	zsm:exe	Para pelajar beratur secara lurus di koridor.
02314584-a	zsm:lemma	lurus; terus
02314584-a	zsm:lemma	lurus; terus
02314584-a	zsm:exe	Para pelajar beratur secara lurus di koridor.
10787470-n	zsm:lemma	perempuan
10787470-n	zsm:exe	Perempuan yang cantik itu adalah Cik Kimura.
04404997-n	zsm:lemma	kaméra
04404997-n	zsm:exe	Kamera ini mahal tetapi berguna.
02942699-n	zsm:lemma	kaméra
02942699-n	zsm:exe	Kamera ini mahal tetapi berguna.
04370048-n	zsm:lemma	baju sejuk
04370048-n	zsm:exe	Saya menanggalkan baju sejuk kerana panas.
02626604-v	zsm:lemma	menjadi (brk:jadi)
02626604-v	zsm:exe	Apabila musim panas datang, akan menjadi panas.
02623529-v	zsm:lemma	menjadi (brk:jadi)
02623529-v	zsm:exe	Apabila musim panas datang, akan menjadi panas.
04398497-n	zsm:lemma	kedai kopi
04398497-n	zsm:exe	Selepas habis sekolah, saya dan kawan minum teh di kedai kopi.
00081591-r	zsm:lemma	setiap minggu
00081591-r	zsm:exe	Setiap hari Sabtu, saya berlatih bola sepak.
01535246-v	zsm:lemma	membasuh (brk:basuh)
01535246-v	zsm:exe	Saya membasuh badan di bilik mandi.
01535246-v	zsm:lemma	mencuci pakaian
01535246-v	zsm:exe	Esok pagi saya mesti mencuci pakaian saya.
00036362-v	zsm:lemma	membasuh (brk:basuh)
00036362-v	zsm:exe	Saya membasuh badan di bilik mandi.
01536168-v	zsm:lemma	membasuh (brk:basuh)
01536168-v	zsm:exe	Saya membasuh badan di bilik mandi.
00606093-v	zsm:lemma	berlatih
00606093-v	zsm:exe	Kalau banyak berlatih, awak akan pandai bahasa Jepun.
01723224-v	zsm:lemma	berlatih
01723224-v	zsm:exe	Kalau banyak berlatih, awak akan pandai bahasa Jepun.
15156187-n	zsm:lemma	semalam
15156187-n	zsm:exe	Semalam, saya hantar surat kepada ibu saya.
01919428-a	zsm:lemma	senyap
01919428-a	zsm:exe	Encik Matsui tinggal di bandar yang kawasannya senyap.
01918984-a	zsm:lemma	senyap
01918984-a	zsm:exe	Encik Matsui tinggal di bandar yang kawasannya senyap.
04437953-n	zsm:lemma	jam
04437953-n	zsm:exe	Jam ini mesti mahal harganya.
03046257-n	zsm:lemma	jam
03046257-n	zsm:exe	Jam ini mesti mahal harganya.
00842199-a	zsm:lemma	kuat
00842199-a	zsm:exe	Brazil adalah sebuah negara yang sangat kuat dalam bola sepak.
15163979-n	zsm:lemma	hari Isnin
15163979-n	zsm:exe	Saya akan ke sekolah mulai pagi pada hari Isnin.
00059413-r	zsm:lemma	sering; selalu
00059413-r	zsm:lemma	sering; selalu
00059413-r	zsm:exe	Saya selalu pergi ke kedai kopi itu dengan Encik Kobayashi. 
00035058-r	zsm:lemma	sering; selalu
00035058-r	zsm:lemma	sering; selalu
00035058-r	zsm:exe	Saya selalu pergi ke kedai kopi itu dengan Encik Kobayashi. 
05687338-n	zsm:lemma	soalan
05687338-n	zsm:exe	Soalan ada ditulis pada muka surat lima belas. 
06784003-n	zsm:lemma	soalan
06784003-n	zsm:exe	Soalan ada ditulis pada muka surat lima belas. 
03281145-n	zsm:lemma	lif
03281145-n	zsm:exe	Ada lif di sana. 
05320899-n	zsm:lemma	telinga
05320899-n	zsm:exe	Anjing itu telinganya besar.
00007846-n	zsm:lemma	sesiapa
00007846-n	zsm:exe	Ada sesiapa yang mempunyai pen mata bulat saya?
03436182-n	zsm:lemma	pemain radio kasét
03436182-n	zsm:exe	Kita boleh dengar lagu dan juga radio menggunakan pemain radio kaset.
04284002-n	zsm:lemma	sudu
04284002-n	zsm:exe	Letakkan gula dalam kopi dengan sudu.
13134947-n	zsm:lemma	buah
13134947-n	zsm:exe	Setiap pagi saya makan sayur dan buah. 
11683989-n	zsm:lemma	buah
11683989-n	zsm:exe	Setiap pagi saya makan sayur dan buah. 
02730813-v	zsm:lemma	cakap
02730813-v	zsm:exe	Saya akan cakap tentang perkara tersebut kepada guru. 
01009240-v	zsm:lemma	cakap
01009240-v	zsm:exe	Saya akan cakap tentang perkara tersebut kepada guru. 
00941990-v	zsm:lemma	cakap
00941990-v	zsm:exe	Saya akan cakap tentang perkara tersebut kepada guru. 
00979870-v	zsm:lemma	cakap
00979870-v	zsm:exe	Saya akan cakap tentang perkara tersebut kepada guru. 
09854218-n	zsm:lemma	kakak
09854218-n	zsm:exe	Sekarang kakak saya tinggal sendirian di Tokyo.
04507155-n	zsm:lemma	payung
04507155-n	zsm:exe	Saya tertinggal payung di dalam kereta api.
02229324-a	zsm:lemma	tidak pandai
02229324-a	zsm:exe	Oleh sebab saya tidak pandai menyanyi, saya akan berlatih.
01870636-a	zsm:lemma	tidak pandai
01870636-a	zsm:exe	Oleh sebab saya tidak pandai menyanyi, saya akan berlatih.
01128103-a	zsm:lemma	tidak pandai
01128103-a	zsm:exe	Oleh sebab saya tidak pandai menyanyi, saya akan berlatih.
02229000-a	zsm:lemma	tidak pandai
02229000-a	zsm:exe	Oleh sebab saya tidak pandai menyanyi, saya akan berlatih.
15270431-n	zsm:lemma	jam
15270431-n	zsm:exe	Saya tidur selama lapan jam semalam.
15227846-n	zsm:lemma	jam
15227846-n	zsm:exe	Saya tidur selama lapan jam semalam.
15269513-n	zsm:lemma	jam
15269513-n	zsm:exe	Saya tidur selama lapan jam semalam.
00744916-a	zsm:lemma	susah
00744916-a	zsm:exe	Buku ini susah kerana ada banyak tulisan kanji.
04401088-n	zsm:lemma	téléfon; menéléfon
04401088-n	zsm:lemma	téléfon; menéléfon
04401088-n	zsm:exe	Saya akan menelefon Encik Lee esok.
06272803-n	zsm:lemma	téléfon; menéléfon
06272803-n	zsm:lemma	téléfon; menéléfon
06272803-n	zsm:exe	Saya akan menelefon Encik Lee esok.
02870092-n	zsm:lemma	buku
02870092-n	zsm:exe	Saya menerima buku daripada ayah saya.
06410904-n	zsm:lemma	buku
06410904-n	zsm:exe	Saya menerima buku daripada ayah saya.
14974264-n	zsm:lemma	kertas
14974264-n	zsm:exe	Saya menulis jawapan kepada soalan pada kertas ini.
80000677-n	zsm:lemma	kertas
80000677-n	zsm:exe	Saya menulis jawapan kepada soalan pada kertas ini.
06255777-n	zsm:lemma	kertas
06255777-n	zsm:exe	Saya menulis jawapan kepada soalan pada kertas ini.
04960277-n	zsm:lemma	hitam
04960277-n	zsm:exe	Semasa saya pergi ke syarikat, saya memakai sut berwarna hitam.
02770717-v	zsm:lemma	mendung
02770717-v	zsm:exe	Langit menjadi sedikit mendung
02529945-a	zsm:lemma	sejuk
