# TUFS Basic Tagalog Wordnet	tgl http://www.coelang.tufs.ac.jp/mt/tl/	CC BY 4.0
08420278-n	tgl:exe	Nagtatrabaho sa bangko ang nanay ni Tony.\n
02787772-n	tgl:lemma	bangko
02787772-n	tgl:exe	Nagtatrabaho sa bangko ang nanay ni Tony.\n
02018049-v	tgl:lemma	sumakay
02018049-v	tgl:exe	Puwede tayong lumakad o sumakay.
02324026-v	tgl:lemma	humiram
02324026-v	tgl:exe	Humiram ako ng DVD kay Joseph.\n
01447257-v	tgl:lemma	itulak
01447257-v	tgl:exe	Itinulak daw ni Nene ang kalaro niya.\n
02398378-a	tgl:lemma	maanghang
02398378-a	tgl:exe	Gusto ko ng maanghang na sawsawan para sa isda.\n
02397732-a	tgl:lemma	maanghang
02397732-a	tgl:exe	Gusto ko ng maanghang na sawsawan para sa isda.\n
06628228-n	tgl:lemma	poskard
06628228-n	tgl:exe	Bumili ako ng poskard para sa pamilya ko.\n
06627938-n	tgl:lemma	poskard
06627938-n	tgl:exe	Bumili ako ng poskard para sa pamilya ko.\n
03959485-n	tgl:lemma	plato
03959485-n	tgl:exe	Ayaw kong maghugas ng plato.
00393105-a	tgl:lemma	puti
00393105-a	tgl:exe	Ganito kaputi ang buhangin sa Boracay.
08625073-n	tgl:lemma	kanan
08625073-n	tgl:exe	Ang tao ay may kanan at kaliwang kamay.
03051540-n	tgl:lemma	damit
03051540-n	tgl:exe	Gusto ko ng bagong damit sa Pasko.\n
02728440-n	tgl:lemma	damit
02728440-n	tgl:exe	Gusto ko ng bagong damit sa Pasko.\n
02728440-n	tgl:lemma	damit
02728440-n	tgl:exe	Gusto ko ng bagong damit sa Pasko.\n
03419014-n	tgl:lemma	damit
03419014-n	tgl:exe	Gusto ko ng bagong damit sa Pasko.\n
15165289-n	tgl:lemma	umaga
15165289-n	tgl:exe	Napakatrapik talaga sa umaga.\n
15165289-n	tgl:lemma	umaga
15165289-n	tgl:exe	Pag Lunes at Huwebes, Pilipino at Math, mula alas otso y medya ng umaga hanggang ala una ng hapon.
00109151-r	tgl:lemma	diyan
00109151-r	tgl:exe	Bawal umupo diyan.\n
03720163-n	tgl:lemma	mapa
03720163-n	tgl:exe	Hindi ko maintindihan ang mapa ni Lucy.\n
00024996-a	tgl:lemma	bago
00024996-a	tgl:exe	Kanino naman ang bagong maletang ito?
01642477-a	tgl:lemma	bago
01642477-a	tgl:exe	Kanino naman ang bagong maletang ito?
01641648-a	tgl:lemma	bago
01641648-a	tgl:exe	Kanino naman ang bagong maletang ito?
01687167-a	tgl:lemma	bago
01687167-a	tgl:exe	Kanino naman ang bagong maletang ito?
02584699-a	tgl:lemma	bago
02584699-a	tgl:exe	Kanino naman ang bagong maletang ito?
01686439-a	tgl:lemma	bago
01686439-a	tgl:exe	Kanino naman ang bagong maletang ito?
02070491-a	tgl:lemma	bago
02070491-a	tgl:exe	Kanino naman ang bagong maletang ito?
02013758-a	tgl:lemma	bago
02013758-a	tgl:exe	Kanino naman ang bagong maletang ito?
01640850-a	tgl:lemma	bago
01640850-a	tgl:exe	Kanino naman ang bagong maletang ito?
00894552-n	tgl:lemma	pag-eensayo
00894552-n	tgl:exe	Ilan ang pupunta sa ating pag-eensayo mamayang hapon?\n
01292683-a	tgl:lemma	gusto
01292683-a	tgl:exe	Pero gusto ko ng kalabasa at talong.
01777210-v	tgl:lemma	gusto
01777210-v	tgl:exe	Pero gusto ko ng kalabasa at talong.
03038685-n	tgl:lemma	klasrum
03038685-n	tgl:exe	Maliit lang ang klasrum sa eskuwelahan ni Totoy.\n
00296131-r	tgl:lemma	baka
00296131-r	tgl:exe	Baka ho natrapik siya.
00154449-r	tgl:lemma	baka
00154449-r	tgl:exe	Baka ho natrapik siya.
03001627-n	tgl:lemma	upuan
03001627-n	tgl:exe	Wala nang upuan sa simbahan nang dumating kami.\n
01734929-v	tgl:lemma	kopyahin
01734929-v	tgl:exe	Huwag mong kalimutang kopyahin ang textbook.
01914947-v	tgl:lemma	tumakbo
01914947-v	tgl:exe	Tumakbo nang mabilis ang mga magnanakaw.\n
01926311-v	tgl:lemma	tumakbo
01926311-v	tgl:exe	Tumakbo nang mabilis ang mga magnanakaw.\n
02005496-v	tgl:lemma	umuwi
02005496-v	tgl:exe	Kailangan ko hong umuwi nang maaga ngayon.
04379243-n	tgl:lemma	mesa
04379243-n	tgl:exe	Masyadong maliit ang mesa namin sa bahay.
04298308-n	tgl:lemma	hagdan
04298308-n	tgl:exe	Matarik ang hagdan sa bundok.\n
00037919-v	tgl:lemma	maligo
00037919-v	tgl:exe	Naliligo ako bago pumasok sa opisina.\n
01532589-v	tgl:lemma	maglinis
01532589-v	tgl:exe	Naglilinis ako ng kuwarto araw-araw.\n
01533442-v	tgl:lemma	maglinis
01533442-v	tgl:exe	Naglilinis ako ng kuwarto araw-araw.\n
07663592-n	tgl:lemma	karneng baka
07663592-n	tgl:exe	Mahilig sa karneng baka ang mga taga-Batangas.\n
08182962-n	tgl:lemma	marami
08182962-n	tgl:exe	Marami ang mga Pilipinong nagtatrabaho sa Amerika.\n
08182379-n	tgl:lemma	marami
08182379-n	tgl:exe	Marami ang mga Pilipinong nagtatrabaho sa Amerika.\n
80000079-n	tgl:lemma	noong isang buwan
80000079-n	tgl:exe	Nanganak siya noong isang buwan.
10020890-n	tgl:lemma	doktor
10020890-n	tgl:exe	Doktor ang pinsan ni Emma.\n
10305802-n	tgl:lemma	doktor
10305802-n	tgl:exe	Doktor ang pinsan ni Emma.\n
03710193-n	tgl:lemma	buson
03710193-n	tgl:exe	Nasa kanto ang buson.\n
03989074-n	tgl:lemma	buson
03989074-n	tgl:exe	Nasa kanto ang buson.\n
15136147-n	tgl:lemma	linggo
15136147-n	tgl:exe	Mga dalawang linggo lang.
15169873-n	tgl:lemma	linggo
15169873-n	tgl:exe	Mga dalawang linggo lang.
15211806-n	tgl:lemma	Hunyo
15211806-n	tgl:exe	Sa Hunyo ang pasukan sa eskwelahan.\n
04489008-n	tgl:lemma	pantalon
04489008-n	tgl:exe	Makapal ang pantalon na suot ko.\n
04230808-n	tgl:lemma	palda
04230808-n	tgl:exe	Mahaba ang palda ni Mila.\n
08544813-n	tgl:lemma	bansa
08544813-n	tgl:exe	Namatay si Rizal para sa bansa natin.
08490199-n	tgl:lemma	bansa
08490199-n	tgl:exe	Namatay si Rizal para sa bansa natin.
00081737-r	tgl:lemma	taun-taon
00081737-r	tgl:exe	Halos walang pumapasa sa klase niya taun-taon.
00018158-v	tgl:lemma	gumising
00018158-v	tgl:exe	Tanghali na ako gumising kanina.\n
05538625-n	tgl:lemma	ulo
05538625-n	tgl:exe	Bilog ang ulo ng sanggol.\n
02418686-v	tgl:lemma	maglaro
02418686-v	tgl:exe	Puwede po ba akong maglaro pagkatapos ng misa? 
04965661-n	tgl:lemma	dilaw
04965661-n	tgl:exe	Dilaw ang paborito kong kulay.\n
02561888-a	tgl:lemma	masikip
02561888-a	tgl:exe	At masikip nga pala ang traysikel.
00476663-a	tgl:lemma	masikip
00476663-a	tgl:exe	At masikip nga pala ang traysikel.
05137165-n	tgl:lemma	taas
05137165-n	tgl:exe	Ilang metro rin ang taas ng bahay ni Jess?\n\n
05131647-n	tgl:lemma	taas
05131647-n	tgl:exe	Ilang metro rin ang taas ng bahay ni Jess?\n\n
00009966-r	tgl:lemma	paki～
00009966-r	tgl:exe	Pakisabi na lang ho ninyo kay Josie na dumating ako.
00009966-r	tgl:lemma	sige
00009966-r	tgl:exe	Sige, kumain ka na.\n
10103485-n	tgl:lemma	dayuhan
10103485-n	tgl:exe	Maraming dayuhan ang paroroon.\n
02958343-n	tgl:lemma	kotse
02958343-n	tgl:exe	Gusto ko ng bagong kotse.\n
03924069-n	tgl:lemma	plaka
03924069-n	tgl:exe	May mga binebentang lumang plaka sa Quiapo.\n
10332385-n	tgl:lemma	nanay
10332385-n	tgl:exe	Galing ho sa Kyoto ito, ipinadala na nanay ko. 
10332385-n	tgl:lemma	nanay
10332385-n	tgl:exe	Para kina Tatay at Nanay ito.
02410855-v	tgl:lemma	magtrabaho
02410855-v	tgl:exe	Nagtatrabaho sa ibang bansa ang ate kong nars.\n
07668702-n	tgl:lemma	karneng baboy
07668702-n	tgl:exe	Pakuluan mo muna ang karneng baboy hanggang sa lumambot.
00081836-n	tgl:lemma	pamimili
00081836-n	tgl:exe	Kasama niya ang katulong sa pamimili sa palengke.\n
04203889-n	tgl:lemma	pamimili
04203889-n	tgl:exe	Kasama niya ang katulong sa pamimili sa palengke.\n
13836136-n	tgl:lemma	kanluran
13836136-n	tgl:exe	Lumulubog ang araw sa kanluran.\n
02368336-a	tgl:lemma	matamis
02368336-a	tgl:exe	Matamis ba ang mangga?
04254777-n	tgl:lemma	medyas
04254777-n	tgl:exe	Nawalan ako ng medyas.
01845229-v	tgl:lemma	maglakbay
01845229-v	tgl:exe	Naglakbay kami nang matagal sa disyerto.\n
01846916-v	tgl:lemma	maglakbay
01846916-v	tgl:exe	Naglakbay kami nang matagal sa disyerto.\n
01845720-v	tgl:lemma	maglakbay
01845720-v	tgl:exe	Naglakbay kami nang matagal sa disyerto.\n
00061203-r	tgl:lemma	likod
00061203-r	tgl:exe	Huwag kang maglakad sa likod ko.
10112591-n	tgl:lemma	kaibigan
10112591-n	tgl:exe	Si Totoy ay matalik kong kaibigan.
08588294-n	tgl:lemma	loob
08588294-n	tgl:exe	Maaliwalas sa loob ng bahay ni Nene.\n
08588152-n	tgl:lemma	loob
08588152-n	tgl:exe	Maaliwalas sa loob ng bahay ni Nene.\n
77000021-n	tgl:lemma	ikaw
77000021-n	tgl:exe	Ikaw?
77000021-n	tgl:lemma	ikaw
77000021-n	tgl:exe	Bakit ikaw ang nagreregalo?
02771169-v	tgl:lemma	umaraw
02771169-v	tgl:exe	Sana umaraw naman bukas.
77000061-a	tgl:lemma	nito
77000061-a	tgl:exe	Putulin mo ang dulo nitong puno.
80001619-a	tgl:lemma	nito
80001619-a	tgl:exe	Putulin mo ang dulo nitong puno.
77000075-a	tgl:lemma	nito
77000075-a	tgl:exe	Putulin mo ang dulo nitong puno.
08649345-n	tgl:lemma	lapad
08649345-n	tgl:exe	Ilang metro ang lapad ng bahay?
08649345-n	tgl:lemma	tabi
08649345-n	tgl:exe	May mga bahay sa tabi ng ilog.\n
08649345-n	tgl:lemma	katabi
08649345-n	tgl:exe	Katabi ng Bangko ang Mcdo.\n
05136150-n	tgl:lemma	lapad
05136150-n	tgl:exe	Ilang metro ang lapad ng bahay?
15211484-n	tgl:lemma	Mayo
15211484-n	tgl:exe	Presko ang hangin kung Mayo sa Hapon.
05563770-n	tgl:lemma	bisig
05563770-n	tgl:exe	Malalaki ang mga bisig ng panday.\n
15165490-n	tgl:lemma	tanghali
15165490-n	tgl:exe	Tanghali na ako gumising kanina.\n
04272054-n	tgl:lemma	salamin sa mata
04272054-n	tgl:exe	Natapakan ko ang salamin sa mata ni Jean.\n
10287213-n	tgl:lemma	lalaki
10287213-n	tgl:exe	Hindi ko pa nakikilala ang type kong lalaki.
09624168-n	tgl:lemma	lalaki
09624168-n	tgl:exe	Hindi ko pa nakikilala ang type kong lalaki.
15164105-n	tgl:lemma	Martes
15164105-n	tgl:exe	Wala akong pasok tuwing Martes.
77000099-n	tgl:lemma	lahat
77000099-n	tgl:exe	Mabuti kaming lahat.
00479391-v	tgl:lemma	burahin
00479391-v	tgl:exe	Binura ko ang mga nakasulat sa pisara.\n
03238879-n	tgl:lemma	kamisadentro
03238879-n	tgl:exe	Puti ang suot na kamisadentro ni Tony.\n
02412164-a	tgl:lemma	manipis
02412164-a	tgl:exe	Manipis lang na libro ang kasya sa bag ko.\n
02414188-a	tgl:lemma	manipis
02414188-a	tgl:exe	Manipis lang na libro ang kasya sa bag ko.\n
08489627-n	tgl:lemma	doon
08489627-n	tgl:exe	Matagal na rin akong hindi nakapunta doon.
01168468-v	tgl:lemma	kumain
01168468-v	tgl:exe	Mamasyal muna tayo rito sa Chinatown bago tayo kumain.
01166351-v	tgl:lemma	kumain
01166351-v	tgl:exe	Mamasyal muna tayo rito sa Chinatown bago tayo kumain.
01179865-v	tgl:lemma	kumain
01179865-v	tgl:exe	Mamasyal muna tayo rito sa Chinatown bago tayo kumain.
15122231-n	tgl:lemma	pag
15122231-n	tgl:exe	Masayang masaya sa bayan namin pag may piesta.
02818832-n	tgl:lemma	kama
02818832-n	tgl:exe	Matulog ka sa kama mo, huwag sa sahig.
90000503-n	tgl:lemma	sa isang taon
90000503-n	tgl:exe	Aalis papuntang Canada sa isang taon ang kapatid ko.\n
08168367-n	tgl:lemma	ibang bansa
08168367-n	tgl:exe	Maraming mga Pilipinong nars sa ibang bansa.\n
02560548-a	tgl:lemma	malapad
02560548-a	tgl:exe	Malapad ang mesang ito.
01384212-a	tgl:lemma	malapad
01384212-a	tgl:exe	Malapad ang mesang ito.
01031256-v	tgl:lemma	ihulog
01031256-v	tgl:exe	Ihuhulog ko mamaya ang mga sulat para kay Nanay.\n
01995211-v	tgl:lemma	ihulog
01995211-v	tgl:exe	Ihuhulog ko mamaya ang mga sulat para kay Nanay.\n
00255710-n	tgl:lemma	paglalaba
00255710-n	tgl:exe	Hindi ko gusto ang paglalaba ng ating katulong.\n
07110457-n	tgl:lemma	pag-uusap
07110457-n	tgl:exe	Huwag kang makinig sa pag-uusap nila.\n
00893243-n	tgl:lemma	pag-uusap
00893243-n	tgl:exe	Huwag kang makinig sa pag-uusap nila.\n
07221094-n	tgl:lemma	pag-uusap
07221094-n	tgl:exe	Huwag kang makinig sa pag-uusap nila.\n
07139316-n	tgl:lemma	pag-uusap
07139316-n	tgl:exe	Huwag kang makinig sa pag-uusap nila.\n
00031798-r	tgl:lemma	na
00031798-r	tgl:exe	Aba, eto na pala siya!
07555863-n	tgl:lemma	pagkain
07555863-n	tgl:exe	Sa susunod, mag-iingat ka sa pagkain.
07560652-n	tgl:lemma	pagkain
07560652-n	tgl:exe	Sa susunod, mag-iingat ka sa pagkain.
00157412-r	tgl:lemma	paminsan-minsan
00157412-r	tgl:exe	Dalawin mo naman kami dito paminsan-minsan.\n
00021212-r	tgl:lemma	paminsan-minsan
00021212-r	tgl:exe	Dalawin mo naman kami dito paminsan-minsan.\n
03740161-n	tgl:lemma	gamot
03740161-n	tgl:exe	Gamot para sa hika ang mga ito.
02318272-a	tgl:lemma	tuwid
02318272-a	tgl:exe	Tuwid na tuwid umupo ang mga binata dito.
02310895-a	tgl:lemma	tuwid
02310895-a	tgl:exe	Tuwid na tuwid umupo ang mga binata dito.
02314584-a	tgl:lemma	tuwid
02314584-a	tgl:exe	Tuwid na tuwid umupo ang mga binata dito.
10787470-n	tgl:lemma	babae
10787470-n	tgl:exe	Ilan ang lalaki at ilan ang babae?
10736091-n	tgl:lemma	tito
10736091-n	tgl:exe	Isang abogado ang tito ko.\n
04404997-n	tgl:lemma	kamera
04404997-n	tgl:exe	Mura lang ang binili kong kamera kahapon.
02942699-n	tgl:lemma	kamera
02942699-n	tgl:exe	Mura lang ang binili kong kamera kahapon.
04370048-n	tgl:lemma	sweater
04370048-n	tgl:exe	Paborito ko ang kulay asul na sweater.\n
02626604-v	tgl:lemma	maging
02626604-v	tgl:exe	Gusto ko ho sana siyang maging partner ko.
02623529-v	tgl:lemma	maging
02623529-v	tgl:exe	Gusto ko ho sana siyang maging partner ko.
04398497-n	tgl:lemma	coffee shop
04398497-n	tgl:exe	Madalas pumunta sa coffee shop ang mga estudyante.\n
00081591-r	tgl:lemma	linggu-linggo
00081591-r	tgl:exe	Linggu-linggo silang nagbabasketbol sa gym.\n
01535246-v	tgl:lemma	maghugas
01535246-v	tgl:exe	Naghuhugas ang kuya ko ng pinggan.\n
01535246-v	tgl:lemma	maglaba
01535246-v	tgl:exe	Ayaw kong maglaba ng maong.\n
00036362-v	tgl:lemma	maghugas
00036362-v	tgl:exe	Naghuhugas ang kuya ko ng pinggan.\n
01536168-v	tgl:lemma	maghugas
01536168-v	tgl:exe	Naghuhugas ang kuya ko ng pinggan.\n
00606093-v	tgl:lemma	mag-ensayo
00606093-v	tgl:exe	Madalas mag-ensayo sa umaga ang mga manlalaro.\n
01723224-v	tgl:lemma	mag-ensayo
01723224-v	tgl:exe	Madalas mag-ensayo sa umaga ang mga manlalaro.\n
15156187-n	tgl:lemma	kahapon
15156187-n	tgl:exe	Wala ka yata kahapon sa klase.
01919428-a	tgl:lemma	tahimik
01919428-a	tgl:exe	Tahimik na lugar ang sementeryo.\n
01918984-a	tgl:lemma	tahimik
01918984-a	tgl:exe	Tahimik na lugar ang sementeryo.\n
04437953-n	tgl:lemma	relo
04437953-n	tgl:exe	Nawalan ako ng relo ko.
03046257-n	tgl:lemma	relo
03046257-n	tgl:exe	Nawalan ako ng relo ko.
04350905-n	tgl:lemma	amerikana
04350905-n	tgl:exe	Salamat ho, pero puwede rin ho bang mahiram ang amerikana ni Mang Celso?
00409440-a	tgl:lemma	madilim
00409440-a	tgl:exe	Palaging madilim ang kulay ng damit ni Tuting.\n
00842199-a	tgl:lemma	malakas
00842199-a	tgl:exe	Malakas ang ulan kahapon.\n
15163979-n	tgl:lemma	Lunes
15163979-n	tgl:exe	Pag Lunes at Huwebes, Pilipino at Math, mula alas otso y medya ng umaga hanggang ala una ng hapon.
00059413-r	tgl:lemma	madalas
00059413-r	tgl:exe	Madalas kaming mag-aral sa aklatan.\n
00035058-r	tgl:lemma	madalas
00035058-r	tgl:exe	Madalas kaming mag-aral sa aklatan.\n
05687338-n	tgl:lemma	tanong
05687338-n	tgl:exe	Mahirap ang mga tanong sa exam kanina.
06784003-n	tgl:lemma	tanong
06784003-n	tgl:exe	Mahirap ang mga tanong sa exam kanina.
03281145-n	tgl:lemma	elebeytor
03281145-n	tgl:exe	Nahihilo ako kapag sumasakay ng elebeytor.\n
05320899-n	tgl:lemma	tenga
05320899-n	tgl:exe	Nasugatan siya sa tenga niya.
00007846-n	tgl:lemma	sino
00007846-n	tgl:exe	Sino sa inyo ang may kotse?
03436182-n	tgl:lemma	radyo
03436182-n	tgl:exe	Nasira ang radyo ko sa bahay.\n
04284002-n	tgl:lemma	kutsara
04284002-n	tgl:exe	Mahal ang kutsarang pilak.
13134947-n	tgl:lemma	prutas
13134947-n	tgl:exe	Ano ang pinakapaborito mong prutas?
11683989-n	tgl:lemma	prutas
11683989-n	tgl:exe	Ano ang pinakapaborito mong prutas?
02730813-v	tgl:lemma	magsabi
02730813-v	tgl:exe	Sabihin mo ang iyong gusto.
01009240-v	tgl:lemma	magsabi
01009240-v	tgl:exe	Sabihin mo ang iyong gusto.
00941990-v	tgl:lemma	magsabi
00941990-v	tgl:exe	Sabihin mo ang iyong gusto.
00979870-v	tgl:lemma	magsabi
00979870-v	tgl:exe	Sabihin mo ang iyong gusto.
09854218-n	tgl:lemma	kapatid na babae
09854218-n	tgl:exe	Tatlo ang kapatid na babae ni Mario.\n
04507155-n	tgl:lemma	payong
04507155-n	tgl:exe	Magdala ka ng payong, kasi uulan daw mamaya.
02229324-a	tgl:lemma	hindi mahusay
02229324-a	tgl:exe	Hindi mahusay sa Math si Ella.\n
01870636-a	tgl:lemma	hindi mahusay
01870636-a	tgl:exe	Hindi mahusay sa Math si Ella.\n
01128103-a	tgl:lemma	hindi mahusay
01128103-a	tgl:exe	Hindi mahusay sa Math si Ella.\n
02229000-a	tgl:lemma	hindi mahusay
02229000-a	tgl:exe	Hindi mahusay sa Math si Ella.\n
15270431-n	tgl:lemma	oras
15270431-n	tgl:exe	Mga dalawang oras pa ho.
15227846-n	tgl:lemma	oras
15227846-n	tgl:exe	Mga dalawang oras pa ho.
15269513-n	tgl:lemma	oras
15269513-n	tgl:exe	Mga dalawang oras pa ho.
