# TUFS Basic Chinese, Mandarin Wordnet	cmn	http://www.coelang.tufs.ac.jp/mt/zh/	CC BY 4.0
01677433-a	cmn:pron	大	dà	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_267.mp3	
10084295-n	cmn:lemma	女孩子	nǚháizi__orth:pīnyīn
10084295-n	cmn:exe	0	他一和女孩子说话，脸就红。
10084295-n	cmn:count	女孩子	1
10084295-n	cmn:pron	女孩子	nǚháizi	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_493.mp3	
10129825-n	cmn:lemma	女孩子	nǚháizi__orth:pīnyīn
10129825-n	cmn:exe	0	他一和女孩子说话，脸就红。
10129825-n	cmn:count	女孩子	1
10129825-n	cmn:pron	女孩子	nǚháizi	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_493.mp3	
10129825-n	cmn:lemma	姐姐	jiějie__orth:pīnyīn
10129825-n	cmn:exe	0	你姐姐好吗？
10129825-n	cmn:count	姐姐	1
10129825-n	cmn:pron	姐姐	jiějie	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_323.mp3	
00065495-v	cmn:lemma	精神	jīngshen__orth:pīnyīn
00065495-v	cmn:exe	0	我一点儿精神都没有。
00065495-v	cmn:count	精神	1
00065495-v	cmn:pron	精神	jīngshen	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_518.mp3	
80001734-n	cmn:lemma	上课	shàngkè__orth:pīnyīn
80001734-n	cmn:exe	0	李老师正在给同学们上课。
80001734-n	cmn:exe	1	上课了，学生们走进教室来。
80001734-n	cmn:count	上课	2
80001734-n	cmn:pron	上课	shàngkè	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_136.mp3	
00889472-n	cmn:lemma	上课	shàngkè__orth:pīnyīn
00889472-n	cmn:exe	0	李老师正在给同学们上课。
00889472-n	cmn:exe	1	上课了，学生们走进教室来。
00889472-n	cmn:count	上课	2
00889472-n	cmn:pron	上课	shàngkè	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_136.mp3	
02608347-v	cmn:lemma	开始	kāishǐ__orth:pīnyīn
02608347-v	cmn:exe	0	电影要开始了，我们进去吧。
02608347-v	cmn:count	开始	1
02608347-v	cmn:pron	开始	kāishǐ	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_513.mp3	
07850329-n	cmn:lemma	干酪	gānlào__orth:pīnyīn
07850329-n	cmn:exe	0	我喜欢一边吃干酪,一边喝葡萄酒。
07850329-n	cmn:count	干酪	1
07850329-n	cmn:pron	干酪	gānlào	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_528.mp3	
03623556-n	cmn:lemma	刀子	dāozi__orth:pīnyīn
03623556-n	cmn:exe	0	这把刀子真快。
03623556-n	cmn:count	刀子	1
03623556-n	cmn:pron	刀子	dāozi	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_187.mp3	
03624134-n	cmn:lemma	刀子	dāozi__orth:pīnyīn
03624134-n	cmn:exe	0	这把刀子真快。
03624134-n	cmn:count	刀子	1
03624134-n	cmn:pron	刀子	dāozi	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_187.mp3	
01776727-v	cmn:lemma	讨厌	tǎoyàn__orth:pīnyīn
01776727-v	cmn:exe	0	他讨厌这个地方的风沙。
01776727-v	cmn:count	讨厌	1
01776727-v	cmn:pron	讨厌	tǎoyàn	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_28.mp3	
01774136-v	cmn:lemma	讨厌	tǎoyàn__orth:pīnyīn
01774136-v	cmn:exe	0	他讨厌这个地方的风沙。
01774136-v	cmn:count	讨厌	1
01774136-v	cmn:pron	讨厌	tǎoyàn	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_28.mp3	
02783161-n	cmn:lemma	圆珠笔	yuánzhūbǐ__orth:pīnyīn
02783161-n	cmn:exe	0	这枝圆珠笔很好写。
02783161-n	cmn:count	圆珠笔	1
02783161-n	cmn:pron	圆珠笔	yuánzhūbǐ	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_380.mp3	
02632567-v	cmn:lemma	要	yào__orth:pīnyīn
02632567-v	cmn:exe	0	他要一个口琴。
02632567-v	cmn:count	要	1
02632567-v	cmn:pron	要	yào	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_72.mp3	
01579608-a	cmn:lemma	马上	mǎshang__orth:pīnyīn
01579608-a	cmn:exe	0	张老师叫你马上就去。
01579608-a	cmn:count	马上	1
01579608-a	cmn:pron	马上	mǎshang	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_443.mp3	
03427296-n	cmn:lemma	门	mén__orth:pīnyīn
03427296-n	cmn:exe	0	大门朝南开。
03427296-n	cmn:count	门	1
03427296-n	cmn:pron	门	mén	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_243.mp3	
04026417-n	cmn:lemma	钱包	qiánbāo__orth:pīnyīn
04026417-n	cmn:exe	0	谢谢你帮我把钱包捡起来。
04026417-n	cmn:count	钱包	1
04026417-n	cmn:pron	钱包	qiánbāo	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_337.mp3	
11456462-n	cmn:lemma	晴天	qíngtiān__orth:pīnyīn
11456462-n	cmn:exe	0	明天是晴天。
11456462-n	cmn:count	晴天	1
11456462-n	cmn:pron	晴天	qíngtiān	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_457.mp3	
07848338-n	cmn:lemma	黄油	huángyóu__orth:pīnyīn
07848338-n	cmn:exe	0	他爱吃黄油面包。
07848338-n	cmn:count	黄油	1
07848338-n	cmn:pron	黄油	huángyóu	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_353.mp3	
90000501-n	cmn:lemma	去年	qùnián__orth:pīnyīn
90000501-n	cmn:exe	0	我去年毕的业。
90000501-n	cmn:count	去年	2
90000501-n	cmn:pron	去年	qùnián	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_416.mp3	
15210870-n	cmn:lemma	三月	sānyuè__orth:pīnyīn
15210870-n	cmn:exe	0	今天三月一号星期一。
15210870-n	cmn:count	三月	2
15210870-n	cmn:pron	三月	sānyuè	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_392.mp3	
77000072-n	cmn:lemma	这儿	zhèr__orth:pīnyīn
77000072-n	cmn:exe	0	从这儿一直往前走，
77000072-n	cmn:count	这儿	1
77000072-n	cmn:pron	这儿	zhèr	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_106.mp3	
08489497-n	cmn:lemma	这儿	zhèr__orth:pīnyīn
08489497-n	cmn:exe	0	从这儿一直往前走，
08489497-n	cmn:count	这儿	1
08489497-n	cmn:pron	这儿	zhèr	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_106.mp3	
03561345-n	cmn:lemma	画	huà__orth:pīnyīn
03561345-n	cmn:exe	0	他的画不怎么样。
03561345-n	cmn:count	画	1
03561345-n	cmn:pron	画	huà	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_453.mp3	
03234306-n	cmn:lemma	画	huà__orth:pīnyīn
03234306-n	cmn:exe	0	他的画不怎么样。
03234306-n	cmn:count	画	1
03234306-n	cmn:pron	画	huà	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_453.mp3	
03876519-n	cmn:lemma	画	huà__orth:pīnyīn
03876519-n	cmn:exe	0	他的画不怎么样。
03876519-n	cmn:count	画	1
03876519-n	cmn:pron	画	huà	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_453.mp3	
07110615-n	cmn:lemma	声音	shēngyīn__orth:pīnyīn
07110615-n	cmn:exe	0	声音大点儿。
07110615-n	cmn:count	声音	1
07110615-n	cmn:pron	声音	shēngyīn	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_456.mp3	
05202284-n	cmn:lemma	声音	shēngyīn__orth:pīnyīn
05202284-n	cmn:exe	0	声音大点儿。
05202284-n	cmn:count	声音	1
05202284-n	cmn:pron	声音	shēngyīn	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_456.mp3	
09411430-n	cmn:lemma	河	hé__orth:pīnyīn
09411430-n	cmn:exe	0	我家前面有两条河。
09411430-n	cmn:count	河	1
09411430-n	cmn:pron	河	hé	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_36.mp3	
15236859-n	cmn:lemma	秋天	qiūtiān__orth:pīnyīn
15236859-n	cmn:exe	0	香山最好秋天去，
15236859-n	cmn:count	秋天	1
15236859-n	cmn:pron	秋天	qiūtiān	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_411.mp3	
02107442-v	cmn:lemma	听	tīng__orth:pīnyīn
02107442-v	cmn:exe	0	你喜欢听音乐还是喜欢看电影?
02107442-v	cmn:exe	1	我听懂了他的话。
02107442-v	cmn:count	听	2
02107442-v	cmn:pron	听	tīng	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_113.mp3	
02169891-v	cmn:lemma	听	tīng__orth:pīnyīn
02169891-v	cmn:exe	0	你喜欢听音乐还是喜欢看电影?
02169891-v	cmn:exe	1	我听懂了他的话。
02169891-v	cmn:count	听	2
02169891-v	cmn:pron	听	tīng	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_113.mp3	
02242464-v	cmn:lemma	卖	mài__orth:pīnyīn
02242464-v	cmn:exe	0	鞋在哪儿卖？
02242464-v	cmn:count	卖	1
02242464-v	cmn:pron	卖	mài	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_234.mp3	
00271022-a	cmn:lemma	明亮	míngliàng__orth:pīnyīn
00271022-a	cmn:exe	0	那间屋子很明亮。
00271022-a	cmn:count	明亮	1
00271022-a	cmn:pron	明亮	míngliàng	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_283.mp3	
00271022-a	cmn:lemma	光亮	guāngliàng__orth:pīnyīn
00271022-a	cmn:exe	0	光亮的颜色。
00271022-a	cmn:count	光亮	1
00271022-a	cmn:pron	光亮	guāngliàng	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_500.mp3	
00396523-a	cmn:lemma	明亮	míngliàng__orth:pīnyīn
00396523-a	cmn:exe	0	那间屋子很明亮。
00396523-a	cmn:count	明亮	1
00396523-a	cmn:pron	明亮	míngliàng	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_283.mp3	
00396523-a	cmn:lemma	光亮	guāngliàng__orth:pīnyīn
00396523-a	cmn:exe	0	光亮的颜色。
00396523-a	cmn:count	光亮	1
00396523-a	cmn:pron	光亮	guāngliàng	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_500.mp3	
00269989-a	cmn:lemma	明亮	míngliàng__orth:pīnyīn
00269989-a	cmn:exe	0	那间屋子很明亮。
00269989-a	cmn:count	明亮	1
00269989-a	cmn:pron	明亮	míngliàng	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_283.mp3	
00269989-a	cmn:lemma	光亮	guāngliàng__orth:pīnyīn
00269989-a	cmn:exe	0	光亮的颜色。
00269989-a	cmn:count	光亮	1
00269989-a	cmn:pron	光亮	guāngliàng	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_500.mp3	
00278551-a	cmn:lemma	明亮	míngliàng__orth:pīnyīn
00278551-a	cmn:exe	0	那间屋子很明亮。
00278551-a	cmn:count	明亮	1
00278551-a	cmn:pron	明亮	míngliàng	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_283.mp3	
00278551-a	cmn:lemma	光亮	guāngliàng__orth:pīnyīn
00278551-a	cmn:exe	0	光亮的颜色。
00278551-a	cmn:count	光亮	1
00278551-a	cmn:pron	光亮	guāngliàng	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_500.mp3	
02924116-n	cmn:lemma	公共汽车	gōnggòngqìchē__orth:pīnyīn
02924116-n	cmn:exe	0	他坐公共汽车上班儿。
02924116-n	cmn:count	公共汽车	1
02924116-n	cmn:pron	公共汽车	gōnggòngqìchē	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_30.mp3	
01614426-v	cmn:lemma	贴	tiē__orth:pīnyīn
01614426-v	cmn:exe	0	邮票最好贴在信封正面。
01614426-v	cmn:count	贴	1
01614426-v	cmn:pron	贴	tiē	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_212.mp3	
80001230-x	cmn:lemma	好	hǎo__orth:pīnyīn
80001230-x	cmn:exe	0	好吧。
80001230-x	cmn:exe	1	好的，
80001230-x	cmn:exe	2	好，
80001230-x	cmn:count	好	3
80001230-x	cmn:pron	好	hǎo	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_205.mp3	
01184932-a	cmn:lemma	重	zhòng__orth:pīnyīn
01184932-a	cmn:exe	0	会不会很重？
01184932-a	cmn:count	重	2
01184932-a	cmn:pron	重	zhòng	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_273.mp3	
07881800-n	cmn:lemma	饮料	yǐnliào__orth:pīnyīn
07881800-n	cmn:exe	0	有什么饮料?
07881800-n	cmn:count	饮料	1
07881800-n	cmn:pron	饮料	yǐnliào	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_171.mp3	
01119192-a	cmn:lemma	拿手	náshǒu__orth:pīnyīn
01119192-a	cmn:exe	0	你的拿手菜是什么?
01119192-a	cmn:count	拿手	1
01119192-a	cmn:pron	拿手	náshǒu	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_19.mp3	
02226162-a	cmn:lemma	拿手	náshǒu__orth:pīnyīn
02226162-a	cmn:exe	0	你的拿手菜是什么?
02226162-a	cmn:count	拿手	1
02226162-a	cmn:pron	拿手	náshǒu	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_19.mp3	
01838916-a	cmn:lemma	拿手	náshǒu__orth:pīnyīn
01838916-a	cmn:exe	0	你的拿手菜是什么?
01838916-a	cmn:count	拿手	1
01838916-a	cmn:pron	拿手	náshǒu	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_19.mp3	
03467517-n	cmn:lemma	吉他	jítā__orth:pīnyīn
03467517-n	cmn:exe	0	他不会弹吉他。
03467517-n	cmn:count	吉他	1
03467517-n	cmn:pron	吉他	jítā	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_450.mp3	
03613294-n	cmn:lemma	钥匙	yàoshi__orth:pīnyīn
03613294-n	cmn:exe	0	我的钥匙不见了，你帮我找找! 
03613294-n	cmn:count	钥匙	1
03613294-n	cmn:pron	钥匙	yàoshi	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_75.mp3	
01553629-a	cmn:lemma	多	duō__orth:pīnyīn
01553629-a	cmn:exe	0	今天有点儿冷，你多穿点儿衣服吧。
01553629-a	cmn:exe	1	很多书
01553629-a	cmn:exe	2	弟弟比妹妹高得多。
01553629-a	cmn:exe	3	生词太多了，记不住。
01553629-a	cmn:exe	4	好多了。
01553629-a	cmn:count	多	7
01553629-a	cmn:pron	多	duō	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_290.mp3	
01551633-a	cmn:lemma	多	duō__orth:pīnyīn
01551633-a	cmn:exe	0	今天有点儿冷，你多穿点儿衣服吧。
01551633-a	cmn:exe	1	很多书
01551633-a	cmn:exe	2	弟弟比妹妹高得多。
01551633-a	cmn:exe	3	生词太多了，记不住。
01551633-a	cmn:exe	4	好多了。
01551633-a	cmn:count	多	7
01551633-a	cmn:pron	多	duō	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_290.mp3	
01552419-a	cmn:lemma	多	duō__orth:pīnyīn
01552419-a	cmn:exe	0	今天有点儿冷，你多穿点儿衣服吧。
01552419-a	cmn:exe	1	很多书
01552419-a	cmn:exe	2	弟弟比妹妹高得多。
01552419-a	cmn:exe	3	生词太多了，记不住。
01552419-a	cmn:exe	4	好多了。
01552419-a	cmn:count	多	7
01552419-a	cmn:pron	多	duō	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_290.mp3	
00127137-a	cmn:lemma	旧	jiù__orth:pīnyīn
00127137-a	cmn:exe	0	这件衣服太旧了。
00127137-a	cmn:count	旧	1
00127137-a	cmn:pron	旧	jiù	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_278.mp3	
01638438-a	cmn:lemma	旧	jiù__orth:pīnyīn
01638438-a	cmn:exe	0	这件衣服太旧了。
01638438-a	cmn:count	旧	1
01638438-a	cmn:pron	旧	jiù	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_278.mp3	
01729384-a	cmn:lemma	旧	jiù__orth:pīnyīn
01729384-a	cmn:exe	0	这件衣服太旧了。
01729384-a	cmn:count	旧	1
01729384-a	cmn:pron	旧	jiù	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_278.mp3	
10694258-n	cmn:lemma	老师	lǎoshī__orth:pīnyīn
10694258-n	cmn:exe	0	张老师叫你马上就去。
10694258-n	cmn:exe	1	他们都是老师。
10694258-n	cmn:count	老师	2
10694258-n	cmn:pron	老师	lǎoshī	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_133.mp3	
07859284-n	cmn:lemma	糖	táng__orth:pīnyīn
07859284-n	cmn:exe	0	要糖吗?
07859284-n	cmn:count	糖	2
07859284-n	cmn:pron	糖	táng	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_176.mp3	
09605289-n	cmn:lemma	成年人	chéngniánrén__orth:pīnyīn
09605289-n	cmn:exe	0	成年人应该承担一定的社会义务。
09605289-n	cmn:count	成年人	1
09605289-n	cmn:pron	成年人	chéngniánrén	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_484.mp3	
04081281-n	cmn:lemma	餐厅	cāntīng__orth:pīnyīn
04081281-n	cmn:exe	0	在餐厅吃饭。
04081281-n	cmn:count	餐厅	1
04081281-n	cmn:pron	餐厅	cāntīng	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_195.mp3	
04081281-n	cmn:lemma	食堂	shítáng__orth:pīnyīn
04081281-n	cmn:exe	0	我在学生食堂吃午饭。
04081281-n	cmn:count	食堂	2
04081281-n	cmn:pron	食堂	shítáng	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_196.mp3	
10448983-n	cmn:lemma	警察	jǐngchá__orth:pīnyīn
10448983-n	cmn:pron	警察	jǐngchá	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_102.mp3	
10448983-n	cmn:lemma	警察	jǐngchá__orth:pīnyīn
10448983-n	cmn:pron	警察	jǐngchá	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_102.mp3	
10448983-n	cmn:lemma	警察	jǐngchá__orth:pīnyīn
10448983-n	cmn:exe	0	小偷儿被警察抓住了。
10448983-n	cmn:count	警察	2
10448983-n	cmn:pron	警察	jǐngchá	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_102.mp3	
10448983-n	cmn:lemma	警察	jǐngchá__orth:pīnyīn
10448983-n	cmn:exe	0	小偷儿被警察抓住了。
10448983-n	cmn:count	警察	2
10448983-n	cmn:pron	警察	jǐngchá	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_102.mp3	
90000507-n	cmn:lemma	这个星期	zhèigexīngqī__orth:pīnyīn
90000507-n	cmn:exe	0	这个星期非常忙。
90000507-n	cmn:count	这个星期	1
90000507-n	cmn:pron	这个星期	zhèigexīngqī	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_398.mp3	
02686568-n	cmn:lemma	飞机	fēijī__orth:pīnyīn
02686568-n	cmn:exe	0	他坐飞机去北京。
02686568-n	cmn:count	飞机	1
02686568-n	cmn:pron	飞机	fēijī	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_3.mp3	
02691156-n	cmn:lemma	飞机	fēijī__orth:pīnyīn
02691156-n	cmn:exe	0	他坐飞机去北京。
02691156-n	cmn:count	飞机	1
02691156-n	cmn:pron	飞机	fēijī	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_3.mp3	
08420278-n	cmn:lemma	银行	yínháng__orth:pīnyīn
08420278-n	cmn:exe	0	我去银行取钱。
08420278-n	cmn:count	银行	1
08420278-n	cmn:pron	银行	yínháng	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_201.mp3	
02787772-n	cmn:lemma	银行	yínháng__orth:pīnyīn
02787772-n	cmn:exe	0	我去银行取钱。
02787772-n	cmn:count	银行	1
02787772-n	cmn:pron	银行	yínháng	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_201.mp3	
02018049-v	cmn:lemma	坐	zuò__orth:pīnyīn
02018049-v	cmn:exe	0	我们是坐地铁来的。
02018049-v	cmn:count	坐	1
02018049-v	cmn:pron	坐	zuò	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_121.mp3	
02324026-v	cmn:lemma	借	jiè__orth:pīnyīn
02324026-v	cmn:exe	0	那本新小说已经借出去了。
02324026-v	cmn:exe	1	能不能借给我一枝笔？
02324026-v	cmn:count	借	3
02324026-v	cmn:pron	借	jiè	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_52.mp3	
01447257-v	cmn:lemma	推	tuī__orth:pīnyīn
01447257-v	cmn:exe	0	他推着自行车去接孩子。
01447257-v	cmn:count	推	1
01447257-v	cmn:pron	推	tuī	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_512.mp3	
02398378-a	cmn:lemma	辣	là__orth:pīnyīn
02398378-a	cmn:exe	0	这个菜辣死了。
02398378-a	cmn:count	辣	1
02398378-a	cmn:pron	辣	là	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_194.mp3	
02397732-a	cmn:lemma	辣	là__orth:pīnyīn
02397732-a	cmn:exe	0	这个菜辣死了。
02397732-a	cmn:count	辣	1
02397732-a	cmn:pron	辣	là	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_194.mp3	
06628228-n	cmn:lemma	明信片	míngxìnpiàn__orth:pīnyīn
06628228-n	cmn:exe	0	他去邮局寄明信片了。
06628228-n	cmn:count	明信片	1
06628228-n	cmn:pron	明信片	míngxìnpiàn	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_211.mp3	
06627938-n	cmn:lemma	明信片	míngxìnpiàn__orth:pīnyīn
06627938-n	cmn:exe	0	他去邮局寄明信片了。
06627938-n	cmn:count	明信片	1
06627938-n	cmn:pron	明信片	míngxìnpiàn	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_211.mp3	
03959485-n	cmn:lemma	碟子	diézi__orth:pīnyīn
03959485-n	cmn:exe	0	请给我小碟子。
03959485-n	cmn:count	碟子	1
03959485-n	cmn:pron	碟子	diézi	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_527.mp3	
