# TUFS Basic Arabic Wordnet	arb	http://www.coelang.tufs.ac.jp/mt/ar/	CC BY 4.0
15210045-n	arb:lemma	يناير
01382086-a	arb:count	كَبِيرٌ	2
01382086-a	arb:pron	كَبِيرٌ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_247.mp3	
01453084-a	arb:lemma	كَبِيرٌ
01453084-a	arb:exe	0	ليست عندي نقود كي أسكن في شقة كبيرة.
01453084-a	arb:exe	1	كان أخي الكبير يعلمني السباحة في النهر القريب من بيتنا.
01453084-a	arb:exe	2	في جامعتنا عدد كبير من الطلاب الأجانب.
01453084-a	arb:exe	3	هذه الملاهي دائما مزدحمة بالكبار والصغار.
01453084-a	arb:exe	4	التقى الوفد الياباني بكبار المسؤولين في البيت الأبيض.
01453084-a	arb:exe	5	هَلِ ٱلْوَلَدُ كَبِيرٌ؟
01453084-a	arb:exe	6	اَلْمَرْكَزُ كَبِيرٌ.
01453084-a	arb:exe	7	أخي الكبير متزوّج وله ٣ بنات.‎
01453084-a	arb:exe	8	أخي الكبير متزوّج وله ٣ بنات.‎
01453084-a	arb:exe	9	أخي الكبير متزوّج وله ٣ بنات.‎
01453084-a	arb:exe	10	هي أكبر منّي بـ ٣ سنوات.
01453084-a	arb:exe	11	أوساكا ثاني أكبر مدينة في اليابان.
01453084-a	arb:count	كَبِيرٌ	2
01453084-a	arb:pron	كَبِيرٌ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_247.mp3	
00527870-a	arb:lemma	كَبِيرٌ
00527870-a	arb:exe	0	ليست عندي نقود كي أسكن في شقة كبيرة.
00527870-a	arb:exe	1	كان أخي الكبير يعلمني السباحة في النهر القريب من بيتنا.
00527870-a	arb:exe	2	في جامعتنا عدد كبير من الطلاب الأجانب.
00527870-a	arb:exe	3	هذه الملاهي دائما مزدحمة بالكبار والصغار.
00527870-a	arb:exe	4	التقى الوفد الياباني بكبار المسؤولين في البيت الأبيض.
00527870-a	arb:exe	5	هَلِ ٱلْوَلَدُ كَبِيرٌ؟
00527870-a	arb:exe	6	اَلْمَرْكَزُ كَبِيرٌ.
00527870-a	arb:exe	7	أخي الكبير متزوّج وله ٣ بنات.‎
00527870-a	arb:exe	8	أخي الكبير متزوّج وله ٣ بنات.‎
00527870-a	arb:exe	9	أخي الكبير متزوّج وله ٣ بنات.‎
00527870-a	arb:exe	10	هي أكبر منّي بـ ٣ سنوات.
00527870-a	arb:exe	11	أوساكا ثاني أكبر مدينة في اليابان.
00527870-a	arb:count	كَبِيرٌ	2
00527870-a	arb:pron	كَبِيرٌ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_247.mp3	
01677433-a	arb:lemma	كَبِيرٌ
01677433-a	arb:exe	0	ليست عندي نقود كي أسكن في شقة كبيرة.
01677433-a	arb:exe	1	كان أخي الكبير يعلمني السباحة في النهر القريب من بيتنا.
01677433-a	arb:exe	2	في جامعتنا عدد كبير من الطلاب الأجانب.
01677433-a	arb:exe	3	هذه الملاهي دائما مزدحمة بالكبار والصغار.
01677433-a	arb:exe	4	التقى الوفد الياباني بكبار المسؤولين في البيت الأبيض.
01677433-a	arb:exe	5	هَلِ ٱلْوَلَدُ كَبِيرٌ؟
01677433-a	arb:exe	6	اَلْمَرْكَزُ كَبِيرٌ.
01677433-a	arb:exe	7	أخي الكبير متزوّج وله ٣ بنات.‎
01677433-a	arb:exe	8	أخي الكبير متزوّج وله ٣ بنات.‎
01677433-a	arb:exe	9	أخي الكبير متزوّج وله ٣ بنات.‎
01677433-a	arb:exe	10	هي أكبر منّي بـ ٣ سنوات.
01677433-a	arb:exe	11	أوساكا ثاني أكبر مدينة في اليابان.
01677433-a	arb:count	كَبِيرٌ	2
01677433-a	arb:pron	كَبِيرٌ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_247.mp3	
10084295-n	arb:lemma	بِنْتٌ
10084295-n	arb:exe	0	تربط البنت شعرها على شكل ذيل الحصان.
10084295-n	arb:exe	1	مع من تسكن هبة؟ ... تسكن هبة مع بنت خالها.
10084295-n	arb:exe	2	في السنة الماضية حصلت بنت عمي على رخصة القيادة.
10084295-n	arb:exe	3	بنت، بنتان، ثلاث بنات، أربع بنات، خمس بنات
10084295-n	arb:exe	4	بنت، بنتان، ثلاث بنات، أربع بنات، خمس بنات
10084295-n	arb:exe	5	أخي الكبير متزوّج وله ٣ بنات.‎
10084295-n	arb:exe	6	أخي الكبير متزوّج وله ٣ بنات.‎
10084295-n	arb:exe	7	أخي الكبير متزوّج وله ٣ بنات.‎
10084295-n	arb:pron	بِنْتٌ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_445.mp3	
10129825-n	arb:lemma	بِنْتٌ
10129825-n	arb:exe	0	تربط البنت شعرها على شكل ذيل الحصان.
10129825-n	arb:exe	1	مع من تسكن هبة؟ ... تسكن هبة مع بنت خالها.
10129825-n	arb:exe	2	في السنة الماضية حصلت بنت عمي على رخصة القيادة.
10129825-n	arb:exe	3	بنت، بنتان، ثلاث بنات، أربع بنات، خمس بنات
10129825-n	arb:exe	4	بنت، بنتان، ثلاث بنات، أربع بنات، خمس بنات
10129825-n	arb:exe	5	أخي الكبير متزوّج وله ٣ بنات.‎
10129825-n	arb:exe	6	أخي الكبير متزوّج وله ٣ بنات.‎
10129825-n	arb:exe	7	أخي الكبير متزوّج وله ٣ بنات.‎
10129825-n	arb:pron	بِنْتٌ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_445.mp3	
00065495-v	arb:lemma	نَشِيطٌ
00065495-v	arb:exe	0	الطالبات نشيطات والطلاب مجتهدون.
00065495-v	arb:pron	نَشِيطٌ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_467.mp3	
80001734-n	arb:lemma	دَرْسٌ
80001734-n	arb:exe	0	متى تبدأون الحفلة ؟ ... تبدأ بعد الدرس.
80001734-n	arb:exe	1	أحبّ أن أدرس وأنا أستمع إلى الموسيقى.
80001734-n	arb:exe	2	تتكلّمين العربيّة جيّداً. كم درستها؟
80001734-n	arb:exe	3	في أيّ ساعة يبدأ الدرس كلّ يوم؟
80001734-n	arb:exe	4	بيت (بيوت)، نقد (نقود)، درس (دروس)، فصل (فصول)
80001734-n	arb:exe	5	أحبّ أن أدرس وأنا أستمع إلى الموسيقى.
80001734-n	arb:exe	6	أدرس العربيّة في معهد اللغات بالجامعة.
80001734-n	arb:exe	7	جئت إلى مصر لأدرس اللغة العربيّة.
80001734-n	arb:exe	8	عندما كنت شابّة لم أكن أدرس كثيراً.
80001734-n	arb:exe	9	وفي أيّ ساعة يبدأ الدرس كلّ يوم؟
80001734-n	arb:exe	10	عندما كنت شابّاً لم أكن أدرس كثيراً.
80001734-n	arb:exe	11	في أيّ ساعة يبدأ الدرس كلّ يوم؟
80001734-n	arb:exe	12	بيت (بيوت)، نقد (نقود)، درس (دروس)، فصل (فصول)
80001734-n	arb:exe	13	قبل أن آتي إلى مصر درست العربيّة قليلاً.
80001734-n	arb:exe	14	أدرس العربيّة في معهد اللغات بالجامعة.
80001734-n	arb:exe	15	لي صديق يابانيّ يدرس اللغة العربيّة.
80001734-n	arb:exe	16	في أيّ ساعة يبدأ الدرس كلّ يوم؟
80001734-n	arb:exe	17	وفي أيّ ساعة يبدأ الدرس كلّ يوم؟
80001734-n	arb:exe	18	أدرس القانون كي أصبح محاميّاً.
80001734-n	arb:exe	19	جئت إلى مصر لأدرس اللغة العربيّة.
80001734-n	arb:exe	20	قبل أن آتي إلى مصر درست العربيّة قليلاً.
80001734-n	arb:exe	21	أصبحت أدرس ليلاً ونهاراً بعد رسوبي في الامتحان.
80001734-n	arb:exe	22	وفي أيّ ساعة يبدأ الدرس كلّ يوم؟
80001734-n	arb:exe	23	تتكلّمين العربيّة جيّداً. كم درستها؟
80001734-n	arb:exe	24	يبدأ الدرس من الساعة التاسعة وينتهي في الواحدة.
80001734-n	arb:exe	25	وفي أيّ ساعة يبدأ الدرس كلّ يوم؟
80001734-n	arb:exe	26	لي صديق ياباني يدرس اللغة العربيّة هناك.
80001734-n	arb:exe	27	أدرس العربيّة في معهد اللغات بالجامعة.
80001734-n	arb:exe	28	عندما كنت شابّاً لم أكن أدرس كثيراً.
80001734-n	arb:pron	دَرْسٌ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_129.mp3	
00889472-n	arb:lemma	دَرْسٌ
00889472-n	arb:exe	0	متى تبدأون الحفلة ؟ ... تبدأ بعد الدرس.
00889472-n	arb:exe	1	أحبّ أن أدرس وأنا أستمع إلى الموسيقى.
00889472-n	arb:exe	2	تتكلّمين العربيّة جيّداً. كم درستها؟
00889472-n	arb:exe	3	في أيّ ساعة يبدأ الدرس كلّ يوم؟
00889472-n	arb:exe	4	بيت (بيوت)، نقد (نقود)، درس (دروس)، فصل (فصول)
00889472-n	arb:exe	5	أحبّ أن أدرس وأنا أستمع إلى الموسيقى.
00889472-n	arb:exe	6	أدرس العربيّة في معهد اللغات بالجامعة.
00889472-n	arb:exe	7	جئت إلى مصر لأدرس اللغة العربيّة.
00889472-n	arb:exe	8	عندما كنت شابّة لم أكن أدرس كثيراً.
00889472-n	arb:exe	9	وفي أيّ ساعة يبدأ الدرس كلّ يوم؟
00889472-n	arb:exe	10	عندما كنت شابّاً لم أكن أدرس كثيراً.
00889472-n	arb:exe	11	في أيّ ساعة يبدأ الدرس كلّ يوم؟
00889472-n	arb:exe	12	بيت (بيوت)، نقد (نقود)، درس (دروس)، فصل (فصول)
00889472-n	arb:exe	13	قبل أن آتي إلى مصر درست العربيّة قليلاً.
00889472-n	arb:exe	14	أدرس العربيّة في معهد اللغات بالجامعة.
00889472-n	arb:exe	15	لي صديق يابانيّ يدرس اللغة العربيّة.
00889472-n	arb:exe	16	في أيّ ساعة يبدأ الدرس كلّ يوم؟
00889472-n	arb:exe	17	وفي أيّ ساعة يبدأ الدرس كلّ يوم؟
00889472-n	arb:exe	18	أدرس القانون كي أصبح محاميّاً.
00889472-n	arb:exe	19	جئت إلى مصر لأدرس اللغة العربيّة.
00889472-n	arb:exe	20	قبل أن آتي إلى مصر درست العربيّة قليلاً.
00889472-n	arb:exe	21	أصبحت أدرس ليلاً ونهاراً بعد رسوبي في الامتحان.
00889472-n	arb:exe	22	وفي أيّ ساعة يبدأ الدرس كلّ يوم؟
00889472-n	arb:exe	23	تتكلّمين العربيّة جيّداً. كم درستها؟
00889472-n	arb:exe	24	يبدأ الدرس من الساعة التاسعة وينتهي في الواحدة.
00889472-n	arb:exe	25	وفي أيّ ساعة يبدأ الدرس كلّ يوم؟
00889472-n	arb:exe	26	لي صديق ياباني يدرس اللغة العربيّة هناك.
00889472-n	arb:exe	27	أدرس العربيّة في معهد اللغات بالجامعة.
00889472-n	arb:exe	28	عندما كنت شابّاً لم أكن أدرس كثيراً.
00889472-n	arb:pron	دَرْسٌ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_129.mp3	
02608347-v	arb:lemma	بَدَأَ
02608347-v	arb:exe	0	متى تبدأون الحفلة ؟ ... تبدأ بعد الدرس.
02608347-v	arb:exe	1	بدأ لون السماء يتغير من الأزرق الفاتح إلى الأزرق الداكن ثم إلى اللون الأحمر.
02608347-v	arb:exe	2	في أيّ ساعة يبدأ الدرس كلّ يوم؟
02608347-v	arb:exe	3	متى ستبدأ الدورة القادمة؟
02608347-v	arb:exe	4	يبدأ من الساعة التاسعة وينتهي في الواحدة.
02608347-v	arb:exe	5	ستبدأ اعتباراً من اليوم الأوّل من الشهر القادم.
02608347-v	arb:exe	6	وفي أيّ ساعة يبدأ الدرس كلّ يوم؟
02608347-v	arb:exe	7	ستبدأ اعتباراً من اليوم الأوّل من الشهر القادم.
02608347-v	arb:exe	8	في أيّ ساعة يبدأ الدرس كلّ يوم؟
02608347-v	arb:exe	9	في أيّ ساعة يبدأ الدرس كلّ يوم؟
02608347-v	arb:exe	10	وفي أيّ ساعة يبدأ الدرس كلّ يوم؟
02608347-v	arb:exe	11	في أيّ ساعة يبدأ المصرف كلّ يوم؟
02608347-v	arb:exe	12	متى ستبدأ الدورة القادمة؟
02608347-v	arb:exe	13	متى ستبدأ الدورة القادمة؟
02608347-v	arb:exe	14	يبدأ من الساعة التاسعة وينتهي في الواحدة.
02608347-v	arb:exe	15	ستبدأ اعتباراً من اليوم الأوّل من الشهر القادم.
02608347-v	arb:exe	16	وفي أيّ ساعة يبدأ الدرس كلّ يوم؟
02608347-v	arb:exe	17	يبدأ الدرس من الساعة التاسعة وينتهي في الواحدة.
02608347-v	arb:exe	18	وفي أيّ ساعة يبدأ الدرس كلّ يوم؟
02608347-v	arb:exe	19	متى ستبدأ الدورة القادمة؟
02608347-v	arb:exe	20	في أيّ ساعة يبدأ كلّ يوم؟
02608347-v	arb:exe	21	ستبدأ اعتباراً من اليوم الأوّل من الشهر القادم.
02608347-v	arb:exe	22	فمتى ستبدأ الدورة القادمة؟
02608347-v	arb:exe	23	لا تفعل ذلك أبدا أمام الأولاد الصغار.
02608347-v	arb:pron	بَدَأَ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_462.mp3	
07850329-n	arb:lemma	جبن
07850329-n	arb:exe	0	الخبز والجبن والزيتون، هذا يكفيني للفطور.
07850329-n	arb:count	جبن	1
07850329-n	arb:pron	جبن			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_182.mp3	
07850329-n	arb:lemma	جُبْنٌ
07850329-n	arb:exe	0	الخبز والجبن والزيتون، هذا يكفيني للفطور.
07850329-n	arb:pron	جُبْنٌ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_1144.mp3	
03623556-n	arb:lemma	سكين	سكاكين__morph:pl
03623556-n	arb:exe	0	عند تناول الطعام يستخدم اليابانيون عودين بدلا من الشوكة والسكين.
03623556-n	arb:count	سكين	1
03623556-n	arb:pron	سكين			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_179.mp3	
03624134-n	arb:lemma	سكين	سكاكين__morph:pl
03624134-n	arb:exe	0	عند تناول الطعام يستخدم اليابانيون عودين بدلا من الشوكة والسكين.
03624134-n	arb:count	سكين	1
03624134-n	arb:pron	سكين			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_179.mp3	
01776727-v	arb:lemma	كره (يكره 
01776727-v	arb:lemma	كراهة،كراهية)
01776727-v	arb:exe	0	أنا أكره الكذب.
01776727-v	arb:pron	كراهة،كراهية)			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_28.mp3	
01774136-v	arb:lemma	كره (يكره 
01774136-v	arb:lemma	كراهة،كراهية)
01774136-v	arb:exe	0	أنا أكره الكذب.
01774136-v	arb:pron	كراهة،كراهية)			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_28.mp3	
02632567-v	arb:lemma	أَرَادَ
02632567-v	arb:exe	0	كم ملعقة من السكر تريدين؟
02632567-v	arb:exe	1	من فضلك، أريد إرسال هذا الطرد إلى اليابان.
02632567-v	arb:pron	أَرَادَ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_71.mp3	
01579608-a	arb:lemma	فَوْرًا
01579608-a	arb:exe	0	هذا القميص قذر جدا، عليك أن تغسله فورا.
01579608-a	arb:exe	1	سأحضره فوراً.
01579608-a	arb:exe	2	عندما نجدها سنتّصل بك فوراً.
01579608-a	arb:exe	3	وعندما نجدها سنتصل بك فوراً.
01579608-a	arb:exe	4	حاضر. سأحضره فوراً. ... شكراً.
01579608-a	arb:exe	5	سأحضره فوراً.
01579608-a	arb:exe	6	حاضر. سأحضره فوراً. ... شكراً.
01579608-a	arb:exe	7	عندما نجدها سنتّصل بك فوراً.
01579608-a	arb:pron	فَوْرًا			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_403.mp3	
04026417-n	arb:lemma	محفظة	محافظ__morph:pl
04026417-n	arb:exe	0	لا تضع المحفظة على المكتب.
04026417-n	arb:count	محفظة	1
04026417-n	arb:pron	محفظة			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_309.mp3	
11456462-n	arb:lemma	صحو
11456462-n	arb:exe	0	يسود العاصمة طوكيو حاليا طقس صحو.
11456462-n	arb:count	صحو	1
11456462-n	arb:pron	صحو			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_416.mp3	
07848338-n	arb:lemma	زبدة 
07848338-n	arb:lemma	زبد
07848338-n	arb:exe	0	يستخلص الزبد من الحليب.
07848338-n	arb:count	زبد	1
07848338-n	arb:pron	زبد			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_325.mp3	
07848338-n	arb:lemma	زُبْدٌ
07848338-n	arb:exe	0	يستخلص الزبد من الحليب.
07848338-n	arb:pron	زُبْدٌ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_1425.mp3	
90000501-n	arb:lemma	السنة الماضية
90000501-n	arb:exe	0	في السنة الماضية حصلت بنت عمي على رخصة القيادة.
90000501-n	arb:count	السنة الماضية	1
90000501-n	arb:pron	السنة الماضية			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_379.mp3	
15210870-n	arb:lemma	مارس
15210870-n	arb:exe	0	زرت السعودية في شهر مارس وكان الجو لطيفا هناك.
15210870-n	arb:count	مارس	1
15210870-n	arb:pron	مارس			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_355.mp3	
15210870-n	arb:lemma	مَارْسُ
15210870-n	arb:exe	0	الحادي والعشرون من شهر مارس
15210870-n	arb:exe	1	زرت السعودية في شهر مارس وكان الجو لطيفا هناك.
15210870-n	arb:exe	2	يناير، فبراير، مارس
15210870-n	arb:exe	3	يناير، فبراير، مارس
15210870-n	arb:exe	4	الحادي والعشرون من شهر مارس
15210870-n	arb:pron	مَارْسُ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_2046.mp3	
15210870-n	arb:lemma	آذَارُ
15210870-n	arb:pron	آذَارُ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_610.mp3	
03561345-n	arb:lemma	رسم	رسوم__morph:pl
03561345-n	arb:exe	0	ترجع هذه الرسوم التي على الجدر إلى العهد القديم.
03561345-n	arb:pron	رسم			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_412.mp3	
03234306-n	arb:lemma	رسم	رسوم__morph:pl
03234306-n	arb:exe	0	ترجع هذه الرسوم التي على الجدر إلى العهد القديم.
03234306-n	arb:pron	رسم			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_412.mp3	
03876519-n	arb:lemma	رسم	رسوم__morph:pl
03876519-n	arb:exe	0	ترجع هذه الرسوم التي على الجدر إلى العهد القديم.
03876519-n	arb:pron	رسم			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_412.mp3	
07110615-n	arb:lemma	صَوْتٌ
07110615-n	arb:exe	0	إن هذه القناة تنقل صوت الجنوب إلى العالم.
07110615-n	arb:exe	1	لَهُ أَخٌ/ صَوْتٌ جَمِيلٌ.
07110615-n	arb:count	صَوْتٌ	1
07110615-n	arb:pron	صَوْتٌ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_415.mp3	
05202284-n	arb:lemma	صَوْتٌ
05202284-n	arb:exe	0	إن هذه القناة تنقل صوت الجنوب إلى العالم.
05202284-n	arb:exe	1	لَهُ أَخٌ/ صَوْتٌ جَمِيلٌ.
05202284-n	arb:count	صَوْتٌ	1
05202284-n	arb:pron	صَوْتٌ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_415.mp3	
09411430-n	arb:lemma	نَهْرٌ
09411430-n	arb:exe	0	كان أخي الكبير يعلمني السباحة في النهر القريب من بيتنا.
09411430-n	arb:pron	نَهْرٌ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_36.mp3	
15236859-n	arb:lemma	خريف
15236859-n	arb:exe	0	في فصل الخريف تصفر أوراق الشجر.
15236859-n	arb:count	خريف	1
15236859-n	arb:pron	خريف			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_374.mp3	
02107442-v	arb:lemma	سَمِعَ
02107442-v	arb:exe	0	لقد سمعت هذه القصة كثيرا.
02107442-v	arb:exe	1	ولكنّي سمعت في الأخبار أنّ لاعباً مشهوراً أصيب بجروح.
02107442-v	arb:exe	2	ولكنّي سمعت في الأخبار الجوّيّة أنّ يوم السبت قد يكون ممطراً.
02107442-v	arb:exe	3	ولكنّي سمعت في الأخبار أنّ لاعباً مشهوراً أصيب بجروح.
02107442-v	arb:exe	4	ولكنّي سمعت في الأخبار الجوّيّة أنّ يوم السبت قد يكون ممطراً.
02107442-v	arb:pron	سَمِعَ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_106.mp3	
02169891-v	arb:lemma	سَمِعَ
02169891-v	arb:exe	0	لقد سمعت هذه القصة كثيرا.
02169891-v	arb:exe	1	ولكنّي سمعت في الأخبار أنّ لاعباً مشهوراً أصيب بجروح.
02169891-v	arb:exe	2	ولكنّي سمعت في الأخبار الجوّيّة أنّ يوم السبت قد يكون ممطراً.
02169891-v	arb:exe	3	ولكنّي سمعت في الأخبار أنّ لاعباً مشهوراً أصيب بجروح.
02169891-v	arb:exe	4	ولكنّي سمعت في الأخبار الجوّيّة أنّ يوم السبت قد يكون ممطراً.
02169891-v	arb:pron	سَمِعَ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_106.mp3	
02242464-v	arb:lemma	بَاعَ
02242464-v	arb:exe	0	بعت سيارتي لأحد أصدقائي في الشهر الماضي.
02242464-v	arb:exe	1	هناك محلات لبيع العصائر والمشروبات.
02242464-v	arb:exe	2	عندي حسّاسيّة الربيع وأشعر بحكّة في العيون.
02242464-v	arb:exe	3	وماذا عن الربيع والخريف؟
02242464-v	arb:exe	4	في الربيع تثمر أنواع كثيرة من الفواكه في البلاد العربية.
02242464-v	arb:exe	5	الجوّ في الربيع والخريف لطيف.
02242464-v	arb:exe	6	وماذا عن الربيع والخريف؟
02242464-v	arb:exe	7	الربيع والخريف جوُّهما لطيف.
02242464-v	arb:exe	8	وماذا عن الربيع والخريف؟
02242464-v	arb:exe	9	الجوّ في الربيع والخريف لطيف.
02242464-v	arb:pron	بَاعَ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_220.mp3	
00271022-a	arb:lemma	مضيء
00271022-a	arb:exe	0	يا ليلي، امشي في شارع مضيء ولا تمشي في شارع مظلم.
00271022-a	arb:count	مضيء	1
00271022-a	arb:pron	مضيء			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_263.mp3	
00271022-a	arb:lemma	فاتح
00271022-a	arb:exe	0	بدأ لون السماء يتغير من الأزرق الفاتح إلى الأزرق الداكن ثم إلى اللون الأحمر.
00271022-a	arb:count	فاتح	1
00271022-a	arb:pron	فاتح			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_451.mp3	
00396523-a	arb:lemma	مضيء
